PrecedingWeekToFollowingWeek,PrecedingWeekThursdayDate,PrecedingWeekThursdayOpen,PrecedingWeekThursdayHigh,PrecedingWeekThursdayLow,PrecedingWeekThursdayClose,PrecedingWeekThursdayVolume,PrecedingWeekThursdayDayOfTheWeek,PrecedingWeekFridayDate,PrecedingWeekFridayOpen,PrecedingWeekFridayHigh,PrecedingWeekFridayLow,PrecedingWeekFridayClose,PrecedingWeekFridayVolume,PrecedingWeekFridayDayOfTheWeek,FollowingWeekMondayDate,FollowingWeekMondayOpen,FollowingWeekMondayHigh,FollowingWeekMondayLow,FollowingWeekMondayClose,FollowingWeekMondayVolume,FollowingWeekMondayDayOfTheWeek,didFridayCloseHigherThanThursdayClose,FridayCloseComparedToThursdayCloseChangeInPercent,wasFridayIntradayPositive,FridayIntradayChangeInPercent,WasMondayOpenHigherThanFridayClose,MondayOpenComparedToFridayCloseChangeInPercent,WasMondayCloseHigherThanFridayClose,MondayCloseComparedToFridayCloseChangeInPercent,fridayWasATripleWitchDay
1/6/03 to 1/13/03,2003-01-09,91.82,93.18,91.410004,92.809998,34804900.0,Thursday,2003-01-10,91.949997,93.639999,91.800003,93.059998,37768900.0,Friday,2003-01-13,93.540001,93.860001,92.440002,93.029999,31649900.0,Monday,1,0.269367530855889,1,1.2071789409628768,1,0.5157994952890614,0,-0.0322361923970699,0
1/20/03 to 1/27/03,2003-01-23,88.75,89.379997,87.949997,88.709999,55919800.0,Thursday,2003-01-24,88.589996,88.68,86.169998,86.379997,68633900.0,Friday,2003-01-27,85.730003,86.800003,84.5,85.199997,57884400.0,Monday,0,-2.626538187651195,0,-2.494637204860012,0,-0.752482082165396,0,-1.366057005072606,0
1/27/03 to 2/3/03,2003-01-30,86.790001,86.879997,84.400002,84.43,49845900.0,Thursday,2003-01-31,84.150002,86.209999,84.150002,86.059998,55317000.0,Friday,2003-02-03,86.139999,86.809998,85.919998,86.230003,39696000.0,Monday,1,1.930591022148509,1,2.2697515800415458,1,0.0929595652558695,1,0.1975424168613195,0
2/3/03 to 2/10/03,2003-02-06,84.370003,84.889999,83.650002,84.449997,53638000.0,Thursday,2003-02-07,84.910004,84.989998,82.970001,83.419998,43165000.0,Friday,2003-02-10,83.459999,84.129997,82.650002,84.010002,45455900.0,Monday,0,-1.2196554607337518,0,-1.7548061827908925,1,0.0479513317657829,1,0.707269256947229,0
2/17/03 to 2/24/03,2003-02-20,85.209999,85.419998,84.050003,84.330002,29280100.0,Thursday,2003-02-21,84.379997,85.739998,83.459999,85.18,60955800.0,Friday,2003-02-24,84.93,85.0,83.589996,83.800003,30628600.0,Monday,1,1.0079425825224262,1,0.9480955539735368,0,-0.2934961258511387,0,-1.620095092744779,0
2/24/03 to 3/3/03,2003-02-27,83.699997,84.75,83.160004,84.339996,51126000.0,Thursday,2003-02-28,84.470001,85.230003,84.160004,84.900002,43666800.0,Friday,2003-03-03,85.260002,85.779999,83.720001,84.089996,42923100.0,Monday,1,0.6639862776374822,1,0.5090576475783448,1,0.4240282585623489,0,-0.9540706489029308,0
3/3/03 to 3/10/03,2003-03-06,82.870003,83.519997,82.470001,82.75,41217700.0,Thursday,2003-03-07,81.610001,83.989998,81.43,83.32,63538000.0,Friday,2003-03-10,82.599998,82.860001,81.099998,81.32,41014100.0,Monday,1,0.6888217522658527,1,2.0953302034636616,0,-0.8641406625059936,0,-2.400384061449832,0
3/10/03 to 3/17/03,2003-03-13,82.18,83.910004,81.529999,83.860001,72117800.0,Thursday,2003-03-14,84.199997,84.769997,83.349998,84.129997,63951800.0,Friday,2003-03-17,83.459999,86.949997,83.220001,86.779999,88217500.0,Monday,1,0.3219604063682352,0,-0.0831353948860511,0,-0.796384195758389,1,3.149889569115283,0
3/17/03 to 3/24/03,2003-03-20,87.330002,88.589996,86.349998,88.150002,67321600.0,Thursday,2003-03-21,88.800003,89.879997,87.93,89.669998,71165300.0,Friday,2003-03-24,88.019997,88.139999,86.349998,86.690002,65398900.0,Monday,1,1.7243289455625943,1,0.9797240660003164,0,-1.840081450654212,0,-3.323292145049451,1
3/24/03 to 3/31/03,2003-03-27,86.400002,87.660004,85.989998,87.150002,53120200.0,Thursday,2003-03-28,86.470001,87.279999,86.25,86.709999,32583000.0,Friday,2003-03-31,85.349998,86.589996,84.400002,84.739998,61119500.0,Monday,0,-0.5048800802092974,1,0.2775505923724922,0,-1.5684477173157356,0,-2.271942132071754,0
3/31/03 to 4/7/03,2003-04-03,88.870003,88.989998,87.650002,87.699997,48755500.0,Thursday,2003-04-04,88.43,88.589996,87.620003,88.220001,36250100.0,Friday,2003-04-07,90.339996,90.849998,87.970001,88.050003,69776200.0,Monday,1,0.5929350259840945,0,-0.2374748388556038,1,2.403077506199533,0,-0.1926977987678696,0
4/7/03 to 4/14/03,2003-04-10,87.089996,87.629997,85.709999,87.510002,41812400.0,Thursday,2003-04-11,88.160004,88.699997,86.860001,87.150002,47730100.0,Friday,2003-04-14,87.470001,89.0,87.0,88.949997,36711700.0,Monday,0,-0.4113815469916221,0,-1.1456464997438067,1,0.3671818619120578,1,2.0653986904096637,0
4/21/03 to 4/28/03,2003-04-24,91.529999,92.080002,90.959999,91.360001,49692400.0,Thursday,2003-04-25,91.300003,91.470001,90.019997,90.230003,43917200.0,Friday,2003-04-28,90.440002,92.190002,90.300003,91.790001,46432900.0,Monday,0,-1.2368629461814482,0,-1.1719605310418306,1,0.2327374410039757,1,1.7289127209715458,0
4/28/03 to 5/5/03,2003-05-01,91.919998,92.730003,90.5,91.900002,50240400.0,Thursday,2003-05-02,91.559998,93.470001,91.489998,93.209999,50201500.0,Friday,2003-05-05,93.470001,93.779999,92.5,93.029999,35437800.0,Monday,1,1.4254591637549645,1,1.802098117127529,1,0.2789421765791458,0,-0.1931123290753308,0
5/5/03 to 5/12/03,2003-05-08,92.519997,93.330002,92.279999,92.449997,40570700.0,Thursday,2003-05-09,92.830002,93.800003,92.610001,93.730003,33608100.0,Friday,2003-05-12,93.5,95.120003,93.279999,94.879997,35662300.0,Monday,1,1.3845387144793528,1,0.9695152220291918,0,-0.2453888751075751,1,1.2269219707589327,0
5/12/03 to 5/19/03,2003-05-15,94.889999,95.330002,94.25,95.110001,43879200.0,Thursday,2003-05-16,94.889999,95.449997,94.260002,94.870003,38905000.0,Friday,2003-05-19,94.150002,94.419998,92.330002,92.650002,41606000.0,Monday,0,-0.2523372910068626,0,-0.0210728213834274,0,-0.7589343071908582,0,-2.3400452511843985,0
5/26/03 to 6/2/03,2003-05-29,95.879997,96.82,95.080002,95.419998,50844200.0,Thursday,2003-05-30,95.900002,97.089996,95.559998,96.949997,52529500.0,Friday,2003-06-02,97.529999,98.449997,96.669998,97.349998,50305500.0,Monday,1,1.603436420109744,1,1.0948852743506674,1,0.5982486002552506,1,0.4125848503120667,0
6/2/03 to 6/9/03,2003-06-05,98.580002,99.650002,98.269997,99.650002,46262400.0,Thursday,2003-06-06,100.400002,101.400002,99.129997,99.260002,60356800.0,Friday,2003-06-09,98.769997,99.099998,97.769997,98.25,37808500.0,Monday,0,-0.3913697864250927,0,-1.1354581447119898,0,-0.4936580597691268,0,-1.017531714335448,0
6/9/03 to 6/16/03,2003-06-12,100.75,100.900002,99.620003,100.610001,36442000.0,Thursday,2003-06-13,100.610001,100.75,98.949997,99.559998,48628300.0,Friday,2003-06-16,99.959999,101.699997,99.800003,101.660004,36326300.0,Monday,0,-1.0436368050528138,0,-1.0436368050528138,1,0.4017687907145229,1,2.109286904565836,0
6/16/03 to 6/23/03,2003-06-19,101.639999,101.730003,99.839996,100.019997,43551700.0,Thursday,2003-06-20,100.389999,100.5,99.419998,99.440002,41545000.0,Friday,2003-06-23,99.449997,99.660004,97.919998,98.419998,34237500.0,Monday,0,-0.5798790415880504,0,-0.946306414446718,1,0.0100512870061982,0,-1.02574816923274,1
6/23/03 to 6/30/03,2003-06-26,97.779999,98.980003,96.959999,98.800003,33477300.0,Thursday,2003-06-27,98.75,99.190002,97.580002,97.660004,54208800.0,Friday,2003-06-30,98.220001,98.669998,97.470001,97.629997,33349000.0,Monday,0,-1.1538451066646254,0,-1.1037934177215185,1,0.5734148853813231,0,-0.0307259868635656,0
7/7/03 to 7/14/03,2003-07-10,99.839996,100.040001,98.629997,99.300003,49777700.0,Thursday,2003-07-11,99.389999,100.449997,99.389999,100.239998,39976300.0,Friday,2003-07-14,101.199997,101.900002,100.449997,100.730003,42114900.0,Monday,1,0.9466213208472876,1,0.8552158250851747,1,0.9577005378631356,1,0.4888318134244142,0
7/14/03 to 7/21/03,2003-07-17,99.150002,99.879997,98.160004,98.5,52253500.0,Thursday,2003-07-18,99.019997,99.800003,98.459999,99.510002,35698100.0,Friday,2003-07-21,99.449997,99.489998,97.849998,98.279999,34786000.0,Monday,1,1.025382741116751,1,0.4948545898259282,0,-0.0603004711023961,0,-1.2360596676502895,0
7/21/03 to 7/28/03,2003-07-24,99.989998,100.339996,98.370003,98.489998,40896200.0,Thursday,2003-07-25,98.660004,100.290001,98.040001,100.230003,43241100.0,Friday,2003-07-28,100.370003,100.980003,99.669998,99.860001,34382800.0,Monday,1,1.7666819325146057,1,1.5913226599909684,1,0.139678734719783,0,-0.3691529371699206,0
7/28/03 to 8/4/03,2003-07-31,99.980003,100.910004,99.169998,99.389999,54937200.0,Thursday,2003-08-01,99.190002,99.529999,98.239998,98.510002,49321000.0,Friday,2003-08-04,98.309998,99.0,97.0,98.510002,55214100.0,Monday,0,-0.8853979362652,0,-0.6855529653079417,0,-0.2030291299760677,0,0.0,0
8/4/03 to 8/11/03,2003-08-07,97.169998,98.07,96.760002,98.0,43427400.0,Thursday,2003-08-08,98.32,98.550003,97.760002,98.279999,27357300.0,Friday,2003-08-11,98.260002,99.040001,97.839996,98.650002,34631400.0,Monday,1,0.2857132653061262,0,-0.0406844995931545,0,-0.0203469680540021,1,0.3764784328090977,0
8/11/03 to 8/18/03,2003-08-14,99.099998,99.75,98.449997,99.309998,35525100.0,Thursday,2003-08-15,99.360001,99.790001,99.120003,99.620003,12567000.0,Friday,2003-08-18,99.93,100.599998,99.739998,100.480003,22873800.0,Monday,1,0.312158902671616,1,0.2616767284452826,1,0.3111794726607365,1,0.8632804397727225,0
8/18/03 to 8/25/03,2003-08-21,101.050003,101.519997,100.400002,100.769997,46494200.0,Thursday,2003-08-22,101.75,101.82,99.730003,99.769997,52040300.0,Friday,2003-08-25,99.709999,100.830002,99.279999,99.93,23473000.0,Monday,0,-0.9923588664987258,0,-1.945948894348891,0,-0.0601363153293542,1,0.1603718600893645,0
9/1/03 to 9/8/03,2003-09-04,103.099998,103.550003,102.760002,103.410004,28381000.0,Thursday,2003-09-05,102.940002,103.550003,102.400002,102.830002,31637300.0,Friday,2003-09-08,103.040001,103.879997,102.93,103.68,32632800.0,Monday,0,-0.5608761024707121,0,-0.1068583620194738,1,0.2042195817520362,1,0.8266050602624841,0
9/8/03 to 9/15/03,2003-09-11,102.099998,102.760002,101.839996,102.260002,38396300.0,Thursday,2003-09-12,101.910004,102.639999,101.349998,102.449997,42524800.0,Friday,2003-09-15,102.519997,102.629997,101.949997,102.089996,21312800.0,Monday,1,0.1857960065363544,1,0.5298724156658805,1,0.0683260146898856,0,-0.3513919087767244,0
9/15/03 to 9/22/03,2003-09-18,103.400002,104.699997,103.169998,104.599998,30243600.0,Thursday,2003-09-19,104.269997,104.599998,103.400002,103.669998,34331600.0,Friday,2003-09-22,102.849998,102.959999,102.029999,102.550003,36677400.0,Monday,0,-0.8891013554321413,0,-0.5754282317664178,0,-0.790971366662906,0,-1.080346311958068,1
9/22/03 to 9/29/03,2003-09-25,101.410004,101.879997,100.199997,100.279999,52673100.0,Thursday,2003-09-26,100.440002,100.660004,99.849998,99.949997,42914700.0,Friday,2003-09-29,100.300003,100.989998,99.790001,100.93,36771600.0,Monday,0,-0.3290805776733279,0,-0.4878584132246539,1,0.3501811010559686,1,0.9804932760528352,0
9/29/03 to 10/6/03,2003-10-02,101.93,102.559998,101.629997,102.449997,44591500.0,Thursday,2003-10-03,103.669998,104.279999,103.080002,103.389999,48806900.0,Friday,2003-10-06,103.480003,103.989998,103.199997,103.860001,20226500.0,Monday,1,0.917522720864508,0,-0.2700868191393267,1,0.0870529073126244,1,0.4545913575257833,0
10/6/03 to 10/13/03,2003-10-09,104.879997,105.220001,103.830002,104.279999,40066500.0,Thursday,2003-10-10,104.269997,104.599998,103.910004,104.57,22682800.0,Friday,2003-10-13,104.709999,105.290001,104.510002,104.900002,23825600.0,Monday,1,0.2780983916196523,1,0.2877174725534802,1,0.1338806541072995,1,0.3155799942622238,0
10/13/03 to 10/20/03,2003-10-16,104.68,105.730003,104.650002,105.410004,32772200.0,Thursday,2003-10-17,105.470001,105.629997,103.980003,104.260002,32790300.0,Friday,2003-10-20,104.449997,105.040001,103.940002,105.040001,27657000.0,Monday,0,-1.0909799415243364,0,-1.1472447032592674,1,0.1822319167037769,1,0.7481287023186549,0
10/20/03 to 10/27/03,2003-10-23,102.889999,103.949997,102.839996,103.349998,45830500.0,Thursday,2003-10-24,102.830002,103.580002,102.18,103.580002,51723600.0,Friday,2003-10-27,103.739998,104.18,103.269997,103.629997,32460200.0,Monday,1,0.2225486254968228,1,0.7293591222530561,1,0.154466110166716,1,0.0482670390371394,0
10/27/03 to 11/3/03,2003-10-30,105.790001,105.970001,104.800003,105.400002,39123100.0,Thursday,2003-10-31,105.400002,105.739998,105.220001,105.300003,25761600.0,Friday,2003-11-03,105.75,106.610001,105.709999,105.989998,37589300.0,Monday,0,-0.0948757097746514,0,-0.0948757097746514,1,0.4273475661724304,1,0.6552658882640261,0
11/3/03 to 11/10/03,2003-11-06,105.599998,106.440002,105.099998,106.400002,28392300.0,Thursday,2003-11-07,106.639999,106.720001,105.57,105.610001,31723200.0,Friday,2003-11-10,105.739998,105.839996,105.010002,105.18,25530800.0,Monday,0,-0.7424821289007154,0,-0.9658646002050376,1,0.1230915621334034,0,-0.4071593560537795,0
11/10/03 to 11/17/03,2003-11-13,106.010002,106.540001,105.779999,106.360001,29714800.0,Thursday,2003-11-14,106.400002,106.949997,105.290001,105.459999,49158500.0,Friday,2003-11-17,104.910004,105.139999,104.040001,104.93,44382100.0,Monday,0,-0.8461846479298177,0,-0.8834614495589994,0,-0.5215200125310029,0,-0.5025592689413827,0
11/17/03 to 11/24/03,2003-11-20,104.0,105.239998,103.75,103.779999,53578700.0,Thursday,2003-11-21,104.239998,104.330002,103.620003,104.209999,30016000.0,Friday,2003-11-24,104.690002,105.779999,104.68,105.589996,28906400.0,Monday,1,0.4143380267328704,0,-0.028778780291231,1,0.4606112701335029,1,1.3242462462743168,0
12/1/03 to 12/8/03,2003-12-04,107.169998,107.720001,106.940002,107.599998,36089500.0,Thursday,2003-12-05,107.120003,107.800003,106.620003,106.849998,28824400.0,Friday,2003-12-08,106.739998,107.639999,106.68,107.57,32482900.0,Monday,0,-0.697026035260707,0,-0.2520584320745376,0,-0.1029480599522326,1,0.6738437187429744,0
12/8/03 to 12/15/03,2003-12-11,106.68,108.099998,106.669998,107.93,45304000.0,Thursday,2003-12-12,107.970001,108.199997,107.389999,108.139999,34142200.0,Friday,2003-12-15,109.169998,109.230003,107.480003,107.599998,38693400.0,Monday,1,0.1945696284628891,1,0.1574492900115901,1,0.9524681057191462,0,-0.4993536203010356,0
12/15/03 to 12/22/03,2003-12-18,108.550003,109.730003,108.389999,109.720001,29353100.0,Thursday,2003-12-19,109.300003,109.370003,108.580002,108.900002,41465100.0,Friday,2003-12-22,108.790001,109.660004,108.779999,109.660004,27611300.0,Monday,0,-0.7473559902719976,0,-0.3659661381711061,0,-0.1010110174286286,1,0.6978897943454584,1
1/5/04 to 1/12/04,2004-01-08,113.25,113.410004,112.769997,113.379997,36438400.0,Thursday,2004-01-09,112.830002,113.5,112.269997,112.389999,54084300.0,Friday,2004-01-12,112.550003,113.25,112.360001,113.220001,31564100.0,Monday,0,-0.8731681303537165,0,-0.3899698592578153,1,0.1423649803573721,1,0.7385016526247974,0
1/19/04 to 1/26/04,2004-01-22,115.139999,115.379997,114.580002,114.800003,29888500.0,Thursday,2004-01-23,115.0,115.370003,113.949997,114.43,44245300.0,Friday,2004-01-26,114.389999,115.93,114.379997,115.870003,30460600.0,Monday,0,-0.3223022563858269,0,-0.4956521739130375,0,-0.0349567421130854,1,1.2584138774796731,0
1/26/04 to 2/2/04,2004-01-29,113.559998,113.849998,112.559998,113.480003,60117100.0,Thursday,2004-01-30,113.519997,113.720001,113.089996,113.480003,30984400.0,Friday,2004-02-02,113.699997,114.68,113.120003,113.970001,38832400.0,Monday,0,0.0,0,-0.0352307972665002,1,0.1938614682623861,1,0.4317923749085554,0
2/2/04 to 2/9/04,2004-02-05,113.169998,113.540001,112.779999,113.18,37226800.0,Thursday,2004-02-06,113.419998,114.699997,113.199997,114.449997,37216000.0,Friday,2004-02-09,114.669998,114.870003,114.290001,114.480003,24851300.0,Monday,1,1.1221037285739437,1,0.9081282120988836,1,0.1922245572448643,1,0.0262175629414828,0
2/16/04 to 2/23/04,2004-02-19,116.330002,116.389999,115.059998,115.230003,51146200.0,Thursday,2004-02-20,115.480003,115.559998,114.32,114.879997,46728800.0,Friday,2004-02-23,115.220001,115.260002,114.169998,114.589996,36357000.0,Monday,0,-0.3037455444655272,0,-0.5195756706033281,1,0.2959644924085376,0,-0.2524382029710565,0
2/23/04 to 3/1/04,2004-02-26,114.610001,115.290001,114.339996,114.940002,29683000.0,Thursday,2004-02-27,115.190002,115.739998,114.629997,115.019997,39312000.0,Friday,2004-03-01,115.43,116.339996,115.25,116.160004,33130800.0,Monday,1,0.0695971799269645,0,-0.1475865934961988,1,0.3564623636705565,1,0.9911380887968524,0
3/1/04 to 3/8/04,2004-03-04,115.720001,116.099998,115.519997,115.989998,21060000.0,Thursday,2004-03-05,115.419998,116.949997,115.279999,116.379997,55905600.0,Friday,2004-03-08,116.339996,116.620003,114.910004,114.959999,39281600.0,Monday,1,0.3362350260580253,1,0.8317440795658273,0,-0.0343710268354824,0,-1.2201392306274133,0
3/8/04 to 3/15/04,2004-03-11,112.400002,113.269997,111.099998,111.120003,89134800.0,Thursday,2004-03-12,111.730003,112.709999,111.580002,112.580002,54012200.0,Friday,2004-03-15,112.269997,112.349998,110.900002,111.199997,57677200.0,Monday,1,1.313893953008619,1,0.7607616371405601,0,-0.2753641805762178,0,-1.2257994097388605,0
3/15/04 to 3/22/04,2004-03-18,112.699997,113.269997,111.93,113.07,60014300.0,Thursday,2004-03-19,112.410004,112.57,111.040001,111.059998,48636200.0,Friday,2004-03-22,110.540001,110.57,109.099998,109.650002,62752100.0,Monday,0,-1.7776616255417,0,-1.200966063483111,0,-0.4682126862635001,0,-1.269580429850172,1
3/22/04 to 3/29/04,2004-03-25,110.080002,111.300003,109.790001,111.0,49873600.0,Thursday,2004-03-26,110.959999,111.790001,110.800003,111.029999,37409500.0,Friday,2004-03-29,111.629997,112.739998,111.580002,112.589996,44113600.0,Monday,1,0.0270261261261294,1,0.0630857972520416,1,0.5403926915283493,1,1.4050229794201796,0
3/29/04 to 4/5/04,2004-04-01,113.07,113.870003,113.050003,113.779999,45103800.0,Thursday,2004-04-02,114.809998,114.839996,113.900002,114.639999,50987700.0,Friday,2004-04-05,114.459999,115.379997,114.440002,115.269997,30251800.0,Monday,1,0.7558446190529492,0,-0.1480698571216681,0,-0.1570132602670441,1,0.5495446663428535,0
4/12/04 to 4/19/04,2004-04-15,113.449997,113.779999,112.360001,112.959999,61602500.0,Thursday,2004-04-16,113.379997,114.050003,112.980003,113.830002,47059200.0,Friday,2004-04-19,113.550003,113.989998,113.269997,113.830002,28277600.0,Monday,1,0.7701867986029257,1,0.3968998164640895,0,-0.2459799658090048,0,0.0,0
4/19/04 to 4/26/04,2004-04-22,112.480003,114.669998,112.440002,114.25,62071500.0,Thursday,2004-04-23,114.419998,114.57,113.790001,114.360001,29395700.0,Friday,2004-04-26,114.5,114.940002,113.599998,114.199997,35515200.0,Monday,1,0.0962809628008725,0,-0.0524357638950577,1,0.1224195512205382,0,-0.1399125556146162,0
4/26/04 to 5/3/04,2004-04-29,112.720001,113.32,111.160004,111.830002,69687600.0,Thursday,2004-04-30,112.169998,112.379997,110.900002,110.959999,48681400.0,Friday,2004-05-03,111.370003,112.290001,111.349998,112.150002,33758000.0,Monday,0,-0.7779692251100889,0,-1.0787189280327976,1,0.3695061316646197,1,1.072461256961623,0
5/3/04 to 5/10/04,2004-05-06,112.019997,112.589996,111.0,111.809998,54997000.0,Thursday,2004-05-07,111.220001,112.230003,109.959999,109.959999,60950000.0,Friday,2004-05-10,109.440002,109.75,108.360001,108.830002,75279400.0,Monday,0,-1.6545917476896808,0,-1.1328915560790187,0,-0.4728965121216393,0,-1.0276436979596582,0
5/10/04 to 5/17/04,2004-05-13,109.760002,110.809998,109.629997,109.989998,57393700.0,Thursday,2004-05-14,109.949997,110.739998,109.269997,110.040001,54123100.0,Friday,2004-05-17,108.889999,109.5,108.410004,109.099998,55020400.0,Monday,1,0.0454614064089752,1,0.0818590290639185,0,-1.0450763263806229,0,-0.8542375422188558,0
5/17/04 to 5/24/04,2004-05-20,109.449997,109.870003,109.040001,109.620003,38082900.0,Thursday,2004-05-21,109.970001,110.550003,109.470001,109.809998,47480400.0,Friday,2004-05-24,110.529999,110.760002,109.68,110.269997,40961500.0,Monday,1,0.1733214694402044,0,-0.145496952391592,1,0.6556789118601118,1,0.4189044789892542,0
5/31/04 to 6/7/04,2004-06-03,112.809998,113.190002,112.07,112.089996,38688300.0,Thursday,2004-06-04,112.980003,113.580002,112.709999,112.980003,32739500.0,Friday,2004-06-07,113.43,114.809998,113.419998,114.699997,31643800.0,Monday,1,0.7940110908737984,0,0.0,1,0.3982979182608187,1,1.5223879928556914,0
6/14/04 to 6/21/04,2004-06-17,113.849998,114.07,113.330002,113.830002,28402400.0,Thursday,2004-06-18,113.269997,114.220001,113.18,113.629997,31799800.0,Friday,2004-06-21,113.75,114.139999,113.129997,113.199997,25284000.0,Monday,0,-0.1757049955950894,1,0.3178246751432327,1,0.1056085568672478,0,-0.378421201577614,1
6/21/04 to 6/28/04,2004-06-24,114.559998,114.93,114.260002,114.389999,35272100.0,Thursday,2004-06-25,114.410004,114.940002,113.68,113.839996,32837900.0,Friday,2004-06-28,114.519997,114.610001,113.410004,113.449997,40824500.0,Monday,0,-0.480813886535661,0,-0.4982151735612223,1,0.5973304847972801,0,-0.3425852193459345,0
7/5/04 to 7/12/04,2004-07-08,111.809998,112.32,111.199997,111.440002,45291100.0,Thursday,2004-07-09,111.720001,111.940002,111.379997,111.730003,27412900.0,Friday,2004-07-12,111.519997,112.040001,111.0,111.779999,35691300.0,Monday,1,0.2602306127022409,1,0.0089527389101975,0,-0.1879584662680021,1,0.0447471571266379,0
7/12/04 to 7/19/04,2004-07-15,111.739998,111.910004,110.699997,110.800003,38403500.0,Thursday,2004-07-16,111.57,111.669998,110.440002,110.709999,40871200.0,Friday,2004-07-19,110.75,110.959999,109.989998,110.239998,39592800.0,Monday,0,-0.0812310447320182,0,-0.7708174240387173,1,0.0361313344425228,0,-0.4245334696462208,0
7/19/04 to 7/26/04,2004-07-22,109.360001,110.389999,108.769997,109.879997,72477100.0,Thursday,2004-07-23,109.620003,109.709999,108.690002,108.959999,49610500.0,Friday,2004-07-26,109.190002,109.43,108.209999,108.75,49679100.0,Monday,0,-0.8372752321789804,0,-0.6020835449165247,1,0.2110893925393764,0,-0.1927303615338655,0
7/26/04 to 8/2/04,2004-07-29,110.540001,110.870003,110.0,110.57,52200500.0,Thursday,2004-07-30,110.32,110.900002,110.099998,110.839996,41581700.0,Friday,2004-08-02,110.190002,111.360001,110.050003,111.07,38263100.0,Monday,1,0.2441855837930778,1,0.4713524292965972,0,-0.5864254993296756,1,0.2075099317037091,0
8/2/04 to 8/9/04,2004-08-05,110.290001,110.379997,108.269997,108.400002,50772000.0,Thursday,2004-08-06,107.629997,107.959999,106.620003,106.849998,74729000.0,Friday,2004-08-09,107.019997,107.480003,106.870003,107.0,37476300.0,Monday,0,-1.4298929625481014,0,-0.724704098988318,1,0.1591006113074557,1,0.1403855898995905,0
8/9/04 to 8/16/04,2004-08-12,107.68,107.949997,106.629997,106.980003,50015900.0,Thursday,2004-08-13,107.099998,107.349998,106.589996,107.190002,41634700.0,Friday,2004-08-16,107.139999,108.639999,107.099998,108.300003,45731900.0,Monday,1,0.196297433268917,1,0.0840373498419743,0,-0.0466489402621746,1,1.0355452740825557,0
8/16/04 to 8/23/04,2004-08-19,109.809998,110.019997,109.18,109.709999,39881600.0,Thursday,2004-08-20,109.610001,110.629997,109.510002,110.480003,44870900.0,Friday,2004-08-23,110.550003,110.769997,110.050003,110.199997,33745100.0,Monday,1,0.7018539850683985,1,0.7937250178475954,1,0.0633598824214436,0,-0.2534449605328126,0
8/23/04 to 8/30/04,2004-08-26,110.959999,111.309998,110.849998,111.099998,26629500.0,Thursday,2004-08-27,111.199997,111.629997,111.050003,111.449997,24902900.0,Friday,2004-08-30,111.220001,111.339996,110.449997,110.529999,26726500.0,Monday,1,0.3150306087314212,1,0.2248201499501839,0,-0.2063669862638039,0,-0.8254805067424027,0
9/6/04 to 9/13/04,2004-09-09,112.57,112.879997,112.029999,112.480003,34314800.0,Thursday,2004-09-10,112.519997,113.269997,112.080002,113.059998,27900600.0,Friday,2004-09-13,113.309998,113.739998,113.010002,113.43,44398100.0,Monday,1,0.515642767185912,1,0.4799155833606976,1,0.2211215323035827,1,0.327261636781573,0
9/13/04 to 9/20/04,2004-09-16,112.849998,113.370003,112.800003,113.139999,23911700.0,Thursday,2004-09-17,112.949997,113.360001,112.690002,113.150002,33683000.0,Friday,2004-09-20,112.669998,112.989998,112.279999,112.470001,37149400.0,Monday,1,0.008841258695784,1,0.1770739312193203,0,-0.424219170583836,0,-0.6009730340084345,1
9/20/04 to 9/27/04,2004-09-23,111.599998,111.699997,110.949997,110.949997,44068700.0,Thursday,2004-09-24,111.169998,111.730003,111.129997,111.459999,34981100.0,Friday,2004-09-27,111.099998,111.199997,110.580002,110.75,39355100.0,Monday,1,0.459668331491708,1,0.2608626474923473,0,-0.3229867245916599,0,-0.6369989290956267,0
9/27/04 to 10/4/04,2004-09-30,111.550003,111.980003,111.260002,111.760002,43536700.0,Thursday,2004-10-01,112.260002,113.650002,112.209999,113.650002,62824300.0,Friday,2004-10-04,114.099998,114.440002,113.800003,113.839996,33082400.0,Monday,1,1.6911238065296388,1,1.2381970205202744,1,0.3959489591561984,1,0.167174656098993,0
10/4/04 to 10/11/04,2004-10-07,114.379997,114.400002,113.360001,113.449997,39388800.0,Thursday,2004-10-08,113.150002,113.769997,112.349998,112.510002,51872600.0,Friday,2004-10-11,112.779999,113.019997,112.639999,112.970001,20229100.0,Monday,0,-0.828554451173759,0,-0.5656208472713952,1,0.2399759978672861,1,0.4088516503626018,0
10/11/04 to 10/18/04,2004-10-14,111.68,111.93,110.580002,110.639999,64082200.0,Thursday,2004-10-15,111.019997,111.739998,110.57,111.260002,63482200.0,Friday,2004-10-18,110.889999,111.900002,110.699997,111.68,43535100.0,Monday,1,0.5603787107771006,1,0.2161817748923164,0,-0.3325570675434618,1,0.3774923534515186,0
10/18/04 to 10/25/04,2004-10-21,110.790001,111.32,110.209999,111.239998,53218300.0,Thursday,2004-10-22,111.190002,111.25,109.860001,109.989998,48752400.0,Friday,2004-10-25,109.75,110.120003,109.349998,109.860001,43990900.0,Monday,0,-1.1236965322491286,0,-1.079237322075061,0,-0.2181998403163894,0,-0.1181898375886896,0
