PrecedingWeekToFollowingWeek,PrecedingWeekFridayDate,PrecedingWeekFridayOpen,PrecedingWeekFridayHigh,PrecedingWeekFridayLow,PrecedingWeekFridayClose,PrecedingWeekFridayVolume,PrecedingWeekFridayDayOfTheWeek,FollowingWeekMondayDate,FollowingWeekMondayOpen,FollowingWeekMondayHigh,FollowingWeekMondayLow,FollowingWeekMondayClose,FollowingWeekMondayVolume,FollowingWeekMondayDayOfTheWeek,WasMondayOpenHigherThanFridayClose,MondayOpenComparedToFridayCloseChangeInPercent,WasMondayCloseHigherThanFridayClose,MondayCloseComparedToFridayCloseChangeInPercent
1/6/03 to 1/13/03,2003-01-10,91.949997,93.639999,91.800003,93.059998,37768900,Friday,2003-01-13,93.540001,93.860001,92.440002,93.029999,31649900,Monday,1,0.5157994952890614,0,-0.03223619239706996
1/13/03 to 1/20/03,2003-01-17,90.989998,92.300003,90.150002,90.660004,35618300,Friday,2003-01-21,90.870003,90.919998,88.949997,89.25,36826200,Tuesday,1,0.2316335657783517,0,-1.5552657597500223
1/20/03 to 1/27/03,2003-01-24,88.589996,88.68,86.169998,86.379997,68633900,Friday,2003-01-27,85.730003,86.800003,84.5,85.199997,57884400,Monday,0,-0.752482082165396,0,-1.366057005072606
1/27/03 to 2/3/03,2003-01-31,84.150002,86.209999,84.150002,86.059998,55317000,Friday,2003-02-03,86.139999,86.809998,85.919998,86.230003,39696000,Monday,1,0.0929595652558695,1,0.19754241686131957
2/3/03 to 2/10/03,2003-02-07,84.910004,84.989998,82.970001,83.419998,43165000,Friday,2003-02-10,83.459999,84.129997,82.650002,84.010002,45455900,Monday,1,0.047951331765782965,1,0.707269256947229
2/10/03 to 2/17/03,2003-02-14,82.370003,84.199997,81.82,84.150002,59580900,Friday,2003-02-18,84.529999,85.800003,84.389999,85.629997,39492700,Tuesday,1,0.45157099342671797,1,1.7587581281340938
2/17/03 to 2/24/03,2003-02-21,84.379997,85.739998,83.459999,85.18,60955800,Friday,2003-02-24,84.93,85.0,83.589996,83.800003,30628600,Monday,0,-0.29349612585113877,0,-1.620095092744779
2/24/03 to 3/3/03,2003-02-28,84.470001,85.230003,84.160004,84.900002,43666800,Friday,2003-03-03,85.260002,85.779999,83.720001,84.089996,42923100,Monday,1,0.42402825856234894,0,-0.9540706489029309
3/3/03 to 3/10/03,2003-03-07,81.610001,83.989998,81.43,83.32,63538000,Friday,2003-03-10,82.599998,82.860001,81.099998,81.32,41014100,Monday,0,-0.8641406625059936,0,-2.400384061449832
3/10/03 to 3/17/03,2003-03-14,84.199997,84.769997,83.349998,84.129997,63951800,Friday,2003-03-17,83.459999,86.949997,83.220001,86.779999,88217500,Monday,0,-0.796384195758389,1,3.149889569115283
3/17/03 to 3/24/03,2003-03-21,88.800003,89.879997,87.93,89.669998,71165300,Friday,2003-03-24,88.019997,88.139999,86.349998,86.690002,65398900,Monday,0,-1.8400814506542122,0,-3.323292145049451
3/24/03 to 3/31/03,2003-03-28,86.470001,87.279999,86.25,86.709999,32583000,Friday,2003-03-31,85.349998,86.589996,84.400002,84.739998,61119500,Monday,0,-1.5684477173157356,0,-2.271942132071754
3/31/03 to 4/7/03,2003-04-04,88.43,88.589996,87.620003,88.220001,36250100,Friday,2003-04-07,90.339996,90.849998,87.970001,88.050003,69776200,Monday,1,2.403077506199533,0,-0.1926977987678696
4/7/03 to 4/14/03,2003-04-11,88.160004,88.699997,86.860001,87.150002,47730100,Friday,2003-04-14,87.470001,89.0,87.0,88.949997,36711700,Monday,1,0.36718186191205787,1,2.0653986904096633
4/14/03 to 4/21/03,2003-04-17,88.300003,89.720001,88.190002,89.559998,37403100,Thursday,2003-04-21,89.860001,90.160004,89.059998,89.650002,32052700,Monday,1,0.33497432637281194,1,0.10049575927860956
4/21/03 to 4/28/03,2003-04-25,91.300003,91.470001,90.019997,90.230003,43917200,Friday,2003-04-28,90.440002,92.190002,90.300003,91.790001,46432900,Monday,1,0.2327374410039757,1,1.7289127209715458
4/28/03 to 5/5/03,2003-05-02,91.559998,93.470001,91.489998,93.209999,50201500,Friday,2003-05-05,93.470001,93.779999,92.5,93.029999,35437800,Monday,1,0.27894217657914583,0,-0.19311232907533088
5/5/03 to 5/12/03,2003-05-09,92.830002,93.800003,92.610001,93.730003,33608100,Friday,2003-05-12,93.5,95.120003,93.279999,94.879997,35662300,Monday,0,-0.2453888751075751,1,1.2269219707589327
5/12/03 to 5/19/03,2003-05-16,94.889999,95.449997,94.260002,94.870003,38905000,Friday,2003-05-19,94.150002,94.419998,92.330002,92.650002,41606000,Monday,0,-0.7589343071908582,0,-2.3400452511843985
5/19/03 to 5/26/03,2003-05-23,93.529999,93.980003,93.139999,93.760002,26155900,Friday,2003-05-27,93.300003,95.839996,93.07,95.400002,43719200,Tuesday,0,-0.49061325745278483,1,1.7491467203680313
5/26/03 to 6/2/03,2003-05-30,95.900002,97.089996,95.559998,96.949997,52529500,Friday,2003-06-02,97.529999,98.449997,96.669998,97.349998,50305500,Monday,1,0.5982486002552506,1,0.4125848503120667
6/2/03 to 6/9/03,2003-06-06,100.400002,101.400002,99.129997,99.260002,60356800,Friday,2003-06-09,98.769997,99.099998,97.769997,98.25,37808500,Monday,0,-0.49365805976912686,0,-1.017531714335448
6/9/03 to 6/16/03,2003-06-13,100.610001,100.75,98.949997,99.559998,48628300,Friday,2003-06-16,99.959999,101.699997,99.800003,101.660004,36326300,Monday,1,0.4017687907145229,1,2.1092869045658356
6/16/03 to 6/23/03,2003-06-20,100.389999,100.5,99.419998,99.440002,41545000,Friday,2003-06-23,99.449997,99.660004,97.919998,98.419998,34237500,Monday,1,0.010051287006198287,0,-1.0257481692327401
6/23/03 to 6/30/03,2003-06-27,98.75,99.190002,97.580002,97.660004,54208800,Friday,2003-06-30,98.220001,98.669998,97.470001,97.629997,33349000,Monday,1,0.5734148853813231,0,-0.030725986863565636
6/30/03 to 7/7/03,2003-07-03,99.07,99.849998,97.900002,98.739998,30792800,Thursday,2003-07-07,99.650002,100.900002,99.650002,100.699997,31391100,Monday,1,0.9216163848818395,1,1.9850101678146646
7/7/03 to 7/14/03,2003-07-11,99.389999,100.449997,99.389999,100.239998,39976300,Friday,2003-07-14,101.199997,101.900002,100.449997,100.730003,42114900,Monday,1,0.9577005378631355,1,0.4888318134244142
7/14/03 to 7/21/03,2003-07-18,99.019997,99.800003,98.459999,99.510002,35698100,Friday,2003-07-21,99.449997,99.489998,97.849998,98.279999,34786000,Monday,0,-0.06030047110239618,0,-1.2360596676502895
7/21/03 to 7/28/03,2003-07-25,98.660004,100.290001,98.040001,100.230003,43241100,Friday,2003-07-28,100.370003,100.980003,99.669998,99.860001,34382800,Monday,1,0.13967873471978304,0,-0.3691529371699206
7/28/03 to 8/4/03,2003-08-01,99.190002,99.529999,98.239998,98.510002,49321000,Friday,2003-08-04,98.309998,99.0,97.0,98.510002,55214100,Monday,0,-0.20302912997606776,0,0.0
8/4/03 to 8/11/03,2003-08-08,98.32,98.550003,97.760002,98.279999,27357300,Friday,2003-08-11,98.260002,99.040001,97.839996,98.650002,34631400,Monday,0,-0.020346968054002112,1,0.37647843280909776
8/11/03 to 8/18/03,2003-08-15,99.360001,99.790001,99.120003,99.620003,12567000,Friday,2003-08-18,99.93,100.599998,99.739998,100.480003,22873800,Monday,1,0.3111794726607365,1,0.8632804397727225
8/18/03 to 8/25/03,2003-08-22,101.75,101.82,99.730003,99.769997,52040300,Friday,2003-08-25,99.709999,100.830002,99.279999,99.93,23473000,Monday,0,-0.060136315329354297,1,0.16037186008936458
8/25/03 to 9/1/03,2003-08-29,100.610001,101.480003,100.480003,101.440002,28706600,Friday,2003-09-02,101.639999,102.879997,101.050003,102.800003,49419100,Tuesday,1,0.19715792198032114,1,1.340694965680301
9/1/03 to 9/8/03,2003-09-05,102.940002,103.550003,102.400002,102.830002,31637300,Friday,2003-09-08,103.040001,103.879997,102.93,103.68,32632800,Monday,1,0.20421958175203622,1,0.8266050602624841
9/8/03 to 9/15/03,2003-09-12,101.910004,102.639999,101.349998,102.449997,42524800,Friday,2003-09-15,102.519997,102.629997,101.949997,102.089996,21312800,Monday,1,0.06832601468988564,0,-0.35139190877672444
9/15/03 to 9/22/03,2003-09-19,104.269997,104.599998,103.400002,103.669998,34331600,Friday,2003-09-22,102.849998,102.959999,102.029999,102.550003,36677400,Monday,0,-0.790971366662906,0,-1.080346311958068
9/22/03 to 9/29/03,2003-09-26,100.440002,100.660004,99.849998,99.949997,42914700,Friday,2003-09-29,100.300003,100.989998,99.790001,100.93,36771600,Monday,1,0.3501811010559686,1,0.9804932760528353
9/29/03 to 10/6/03,2003-10-03,103.669998,104.279999,103.080002,103.389999,48806900,Friday,2003-10-06,103.480003,103.989998,103.199997,103.860001,20226500,Monday,1,0.08705290731262443,1,0.4545913575257833
10/6/03 to 10/13/03,2003-10-10,104.269997,104.599998,103.910004,104.57,22682800,Friday,2003-10-13,104.709999,105.290001,104.510002,104.900002,23825600,Monday,1,0.13388065410729952,1,0.31557999426222383
10/13/03 to 10/20/03,2003-10-17,105.470001,105.629997,103.980003,104.260002,32790300,Friday,2003-10-20,104.449997,105.040001,103.940002,105.040001,27657000,Monday,1,0.1822319167037769,1,0.7481287023186549
10/20/03 to 10/27/03,2003-10-24,102.830002,103.580002,102.18,103.580002,51723600,Friday,2003-10-27,103.739998,104.18,103.269997,103.629997,32460200,Monday,1,0.15446611016671608,1,0.048267039037139414
10/27/03 to 11/3/03,2003-10-31,105.400002,105.739998,105.220001,105.300003,25761600,Friday,2003-11-03,105.75,106.610001,105.709999,105.989998,37589300,Monday,1,0.4273475661724304,1,0.6552658882640261
11/3/03 to 11/10/03,2003-11-07,106.639999,106.720001,105.57,105.610001,31723200,Friday,2003-11-10,105.739998,105.839996,105.010002,105.18,25530800,Monday,1,0.12309156213340347,0,-0.4071593560537795
11/10/03 to 11/17/03,2003-11-14,106.400002,106.949997,105.290001,105.459999,49158500,Friday,2003-11-17,104.910004,105.139999,104.040001,104.93,44382100,Monday,0,-0.5215200125310029,0,-0.5025592689413827
11/17/03 to 11/24/03,2003-11-21,104.239998,104.330002,103.620003,104.209999,30016000,Friday,2003-11-24,104.690002,105.779999,104.68,105.589996,28906400,Monday,1,0.4606112701335029,1,1.3242462462743168
11/24/03 to 12/1/03,2003-11-28,106.279999,106.660004,106.199997,106.449997,10507500,Friday,2003-12-01,106.849998,107.68,106.800003,107.599998,38699000,Monday,1,0.3757642191384967,1,1.0803203686327987
12/1/03 to 12/8/03,2003-12-05,107.120003,107.800003,106.620003,106.849998,28824400,Friday,2003-12-08,106.739998,107.639999,106.68,107.57,32482900,Monday,0,-0.10294805995223269,1,0.6738437187429744
12/8/03 to 12/15/03,2003-12-12,107.970001,108.199997,107.389999,108.139999,34142200,Friday,2003-12-15,109.169998,109.230003,107.480003,107.599998,38693400,Monday,1,0.9524681057191462,0,-0.49935362030103564
12/15/03 to 12/22/03,2003-12-19,109.300003,109.370003,108.580002,108.900002,41465100,Friday,2003-12-22,108.790001,109.660004,108.779999,109.660004,27611300,Monday,0,-0.10101101742862861,1,0.6978897943454584
12/22/03 to 12/29/03,2003-12-26,109.709999,110.080002,109.629997,109.699997,8308400,Friday,2003-12-29,110.099998,111.269997,109.779999,111.160004,22483700,Monday,1,0.3646317328522837,1,1.3309088786939571
12/29/03 to 1/5/04,2004-01-02,111.739998,112.190002,110.730003,111.230003,38072300,Friday,2004-01-05,111.690002,112.519997,111.589996,112.440002,27959800,Monday,1,0.41355658328986156,1,1.0878350870852809
1/5/04 to 1/12/04,2004-01-09,112.830002,113.5,112.269997,112.389999,54084300,Friday,2004-01-12,112.550003,113.25,112.360001,113.220001,31564100,Monday,1,0.1423649803573721,1,0.7385016526247974
1/12/04 to 1/19/04,2004-01-16,114.040001,114.309998,113.629997,114.230003,31922700,Friday,2004-01-20,114.529999,114.650002,113.82,114.199997,29863000,Tuesday,1,0.26262452256086105,0,-0.02626805498727003
1/19/04 to 1/26/04,2004-01-23,115.0,115.370003,113.949997,114.43,44245300,Friday,2004-01-26,114.389999,115.93,114.379997,115.870003,30460600,Monday,0,-0.03495674211308549,1,1.2584138774796731
1/26/04 to 2/2/04,2004-01-30,113.519997,113.720001,113.089996,113.480003,30984400,Friday,2004-02-02,113.699997,114.68,113.120003,113.970001,38832400,Monday,1,0.1938614682623861,1,0.43179237490855543
2/2/04 to 2/9/04,2004-02-06,113.419998,114.699997,113.199997,114.449997,37216000,Friday,2004-02-09,114.669998,114.870003,114.290001,114.480003,24851300,Monday,1,0.19222455724486437,1,0.026217562941482822
2/9/04 to 2/16/04,2004-02-13,115.82,116.199997,114.75,115.129997,44739900,Friday,2004-02-17,115.849998,116.43,115.769997,116.169998,23984300,Tuesday,1,0.6253808900907001,1,0.9033275663161909
2/16/04 to 2/23/04,2004-02-20,115.480003,115.559998,114.32,114.879997,46728800,Friday,2004-02-23,115.220001,115.260002,114.169998,114.589996,36357000,Monday,1,0.29596449240853767,0,-0.25243820297105657
2/23/04 to 3/1/04,2004-02-27,115.190002,115.739998,114.629997,115.019997,39312000,Friday,2004-03-01,115.43,116.339996,115.25,116.160004,33130800,Monday,1,0.3564623636705565,1,0.9911380887968524
3/1/04 to 3/8/04,2004-03-05,115.419998,116.949997,115.279999,116.379997,55905600,Friday,2004-03-08,116.339996,116.620003,114.910004,114.959999,39281600,Monday,0,-0.034371026835482495,0,-1.2201392306274133
3/8/04 to 3/15/04,2004-03-12,111.730003,112.709999,111.580002,112.580002,54012200,Friday,2004-03-15,112.269997,112.349998,110.900002,111.199997,57677200,Monday,0,-0.27536418057621787,0,-1.2257994097388603
3/15/04 to 3/22/04,2004-03-19,112.410004,112.57,111.040001,111.059998,48636200,Friday,2004-03-22,110.540001,110.57,109.099998,109.650002,62752100,Monday,0,-0.4682126862635001,0,-1.269580429850172
3/22/04 to 3/29/04,2004-03-26,110.959999,111.790001,110.800003,111.029999,37409500,Friday,2004-03-29,111.629997,112.739998,111.580002,112.589996,44113600,Monday,1,0.5403926915283493,1,1.4050229794201796
3/29/04 to 4/5/04,2004-04-02,114.809998,114.839996,113.900002,114.639999,50987700,Friday,2004-04-05,114.459999,115.379997,114.440002,115.269997,30251800,Monday,0,-0.15701326026704415,1,0.5495446663428535
4/5/04 to 4/12/04,2004-04-08,115.410004,115.410004,113.739998,114.370003,46929700,Thursday,2004-04-12,114.580002,115.080002,114.57,114.82,23085200,Monday,1,0.1836137050726459,1,0.39345718999412477
4/12/04 to 4/19/04,2004-04-16,113.379997,114.050003,112.980003,113.830002,47059200,Friday,2004-04-19,113.550003,113.989998,113.269997,113.830002,28277600,Monday,0,-0.2459799658090048,0,0.0
4/19/04 to 4/26/04,2004-04-23,114.419998,114.57,113.790001,114.360001,29395700,Friday,2004-04-26,114.5,114.940002,113.599998,114.199997,35515200,Monday,1,0.12241955122053828,0,-0.13991255561461624
4/26/04 to 5/3/04,2004-04-30,112.169998,112.379997,110.900002,110.959999,48681400,Friday,2004-05-03,111.370003,112.290001,111.349998,112.150002,33758000,Monday,1,0.3695061316646197,1,1.072461256961623
5/3/04 to 5/10/04,2004-05-07,111.220001,112.230003,109.959999,109.959999,60950000,Friday,2004-05-10,109.440002,109.75,108.360001,108.830002,75279400,Monday,0,-0.4728965121216393,0,-1.0276436979596582
5/10/04 to 5/17/04,2004-05-14,109.949997,110.739998,109.269997,110.040001,54123100,Friday,2004-05-17,108.889999,109.5,108.410004,109.099998,55020400,Monday,0,-1.0450763263806229,0,-0.8542375422188558
5/17/04 to 5/24/04,2004-05-21,109.970001,110.550003,109.470001,109.809998,47480400,Friday,2004-05-24,110.529999,110.760002,109.68,110.269997,40961500,Monday,1,0.6556789118601118,1,0.4189044789892542
5/24/04 to 5/31/04,2004-05-28,112.730003,112.879997,112.360001,112.860001,23367200,Friday,2004-06-01,112.459999,112.860001,111.870003,112.709999,41044700,Tuesday,0,-0.3544231760196428,0,-0.13290979857425364
5/31/04 to 6/7/04,2004-06-04,112.980003,113.580002,112.709999,112.980003,32739500,Friday,2004-06-07,113.43,114.809998,113.419998,114.699997,31643800,Monday,1,0.3982979182608187,1,1.5223879928556914
6/7/04 to 6/14/04,2004-06-10,114.040001,114.349998,113.93,114.349998,21711000,Thursday,2004-06-14,113.82,113.849998,112.870003,113.220001,34633000,Monday,0,-0.4634875463662065,0,-0.9881915345551672
6/14/04 to 6/21/04,2004-06-18,113.269997,114.220001,113.18,113.629997,31799800,Friday,2004-06-21,113.75,114.139999,113.129997,113.199997,25284000,Monday,1,0.10560855686724781,0,-0.37842120157761405
6/21/04 to 6/28/04,2004-06-25,114.410004,114.940002,113.68,113.839996,32837900,Friday,2004-06-28,114.519997,114.610001,113.410004,113.449997,40824500,Monday,1,0.5973304847972801,0,-0.34258521934593456
6/28/04 to 7/5/04,2004-07-02,113.160004,113.290001,112.599998,112.879997,34615100,Friday,2004-07-06,112.370003,112.449997,111.629997,111.889999,38698200,Tuesday,0,-0.451801925543997,0,-0.8770358135285917
7/5/04 to 7/12/04,2004-07-09,111.720001,111.940002,111.379997,111.730003,27412900,Friday,2004-07-12,111.519997,112.040001,111.0,111.779999,35691300,Monday,0,-0.18795846626800217,1,0.04474715712663792
7/12/04 to 7/19/04,2004-07-16,111.57,111.669998,110.440002,110.709999,40871200,Friday,2004-07-19,110.75,110.959999,109.989998,110.239998,39592800,Monday,1,0.036131334442522874,0,-0.4245334696462208
7/19/04 to 7/26/04,2004-07-23,109.620003,109.709999,108.690002,108.959999,49610500,Friday,2004-07-26,109.190002,109.43,108.209999,108.75,49679100,Monday,1,0.21108939253937642,0,-0.19273036153386555
7/26/04 to 8/2/04,2004-07-30,110.32,110.900002,110.099998,110.839996,41581700,Friday,2004-08-02,110.190002,111.360001,110.050003,111.07,38263100,Monday,0,-0.5864254993296756,1,0.2075099317037091
8/2/04 to 8/9/04,2004-08-06,107.629997,107.959999,106.620003,106.849998,74729000,Friday,2004-08-09,107.019997,107.480003,106.870003,107.0,37476300,Monday,1,0.15910061130745573,1,0.1403855898995905
8/9/04 to 8/16/04,2004-08-13,107.099998,107.349998,106.589996,107.190002,41634700,Friday,2004-08-16,107.139999,108.639999,107.099998,108.300003,45731900,Monday,0,-0.04664894026217463,1,1.0355452740825557
8/16/04 to 8/23/04,2004-08-20,109.610001,110.629997,109.510002,110.480003,44870900,Friday,2004-08-23,110.550003,110.769997,110.050003,110.199997,33745100,Monday,1,0.06335988242144362,0,-0.2534449605328126
8/23/04 to 8/30/04,2004-08-27,111.199997,111.629997,111.050003,111.449997,24902900,Friday,2004-08-30,111.220001,111.339996,110.449997,110.529999,26726500,Monday,0,-0.20636698626380393,0,-0.8254805067424027
8/30/04 to 9/6/04,2004-09-03,112.330002,112.82,112.010002,112.120003,30480500,Friday,2004-09-07,112.540001,113.129997,112.32,112.860001,37338800,Tuesday,1,0.37459685048350094,1,0.6600053337494113
9/6/04 to 9/13/04,2004-09-10,112.519997,113.269997,112.080002,113.059998,27900600,Friday,2004-09-13,113.309998,113.739998,113.010002,113.43,44398100,Monday,1,0.22112153230358275,1,0.32726163678157305
9/13/04 to 9/20/04,2004-09-17,112.949997,113.360001,112.690002,113.150002,33683000,Friday,2004-09-20,112.669998,112.989998,112.279999,112.470001,37149400,Monday,0,-0.424219170583836,0,-0.6009730340084345
9/20/04 to 9/27/04,2004-09-24,111.169998,111.730003,111.129997,111.459999,34981100,Friday,2004-09-27,111.099998,111.199997,110.580002,110.75,39355100,Monday,0,-0.32298672459165995,0,-0.6369989290956267
9/27/04 to 10/4/04,2004-10-01,112.260002,113.650002,112.209999,113.650002,62824300,Friday,2004-10-04,114.099998,114.440002,113.800003,113.839996,33082400,Monday,1,0.39594895915619843,1,0.167174656098993
10/4/04 to 10/11/04,2004-10-08,113.150002,113.769997,112.349998,112.510002,51872600,Friday,2004-10-11,112.779999,113.019997,112.639999,112.970001,20229100,Monday,1,0.23997599786728616,1,0.4088516503626018
10/11/04 to 10/18/04,2004-10-15,111.019997,111.739998,110.57,111.260002,63482200,Friday,2004-10-18,110.889999,111.900002,110.699997,111.68,43535100,Monday,0,-0.3325570675434618,1,0.37749235345151866
10/18/04 to 10/25/04,2004-10-22,111.190002,111.25,109.860001,109.989998,48752400,Friday,2004-10-25,109.75,110.120003,109.349998,109.860001,43990900,Monday,0,-0.21819984031638942,0,-0.11818983758868967
10/25/04 to 11/1/04,2004-10-29,113.120003,113.639999,112.900002,113.199997,48820200,Friday,2004-11-01,113.559998,113.839996,113.199997,113.510002,36720900,Monday,1,0.3180220932337983,1,0.27385601432480944
11/1/04 to 11/8/04,2004-11-05,117.050003,117.639999,116.489998,117.279999,63287200,Friday,2004-11-08,116.980003,117.230003,116.720001,117.110001,33863800,Monday,0,-0.255794681580793,0,-0.14495054693853363
11/8/04 to 11/15/04,2004-11-12,117.970001,119.0,117.68,118.790001,55583700,Friday,2004-11-15,118.5,118.769997,118.230003,118.730003,35297900,Monday,0,-0.24412913339398298,0,-0.050507618061226646
11/15/04 to 11/22/04,2004-11-19,118.699997,118.720001,117.139999,117.419998,54276500,Friday,2004-11-22,117.169998,118.120003,117.029999,117.980003,37560200,Monday,0,-0.2129109216983635,1,0.4769247228227594
11/22/04 to 11/29/04,2004-11-26,118.510002,118.980003,118.300003,118.349998,15487700,Friday,2004-11-29,118.790001,119.010002,117.480003,117.809998,61460800,Monday,1,0.37178116386618304,0,-0.4562737719691438
11/29/04 to 12/6/04,2004-12-03,119.309998,120.139999,119.089996,119.25,49067900,Friday,2004-12-06,119.209999,119.639999,118.839996,119.209999,33030500,Monday,0,-0.03354381551362996,0,-0.03354381551362996
12/6/04 to 12/13/04,2004-12-10,118.919998,119.559998,118.849998,119.330002,47828600,Friday,2004-12-13,119.760002,120.400002,119.349998,120.370003,38541000,Monday,1,0.3603452550013423,1,0.8715335477828986
12/13/04 to 12/20/04,2004-12-17,119.459999,119.970001,119.160004,119.440002,70761900,Friday,2004-12-20,119.75,120.290001,119.169998,119.470001,47187400,Monday,1,0.25954286236531804,1,0.02511637600273102
12/20/04 to 12/27/04,2004-12-23,120.870003,121.279999,120.660004,120.769997,25646100,Thursday,2004-12-27,121.199997,121.360001,120.389999,120.519997,29944100,Monday,1,0.3560486964324365,0,-0.20700505606537356
12/27/04 to 1/3/05,2004-12-31,121.300003,121.660004,120.800003,120.870003,28648800,Friday,2005-01-03,121.559998,121.760002,119.900002,120.300003,55748000,Monday,1,0.5708571050502879,0,-0.47158102577361
1/3/05 to 1/10/05,2005-01-07,118.970001,119.230003,118.129997,118.440002,55847700,Friday,2005-01-10,118.339996,119.459999,118.339996,119.0,56563300,Monday,0,-0.08443599992509927,1,0.47281154216798565
1/10/05 to 1/17/05,2005-01-14,117.970001,118.529999,117.760002,118.239998,42032500,Friday,2005-01-18,118.050003,119.620003,117.949997,119.470001,57391700,Tuesday,0,-0.1606858958167406,1,1.0402596590030357
1/17/05 to 1/24/05,2005-01-21,117.790001,118.0,116.650002,116.779999,63160400,Friday,2005-01-24,117.089996,117.339996,116.370003,116.550003,58441900,Monday,1,0.2654538471095514,0,-0.19694810923915138
1/24/05 to 1/31/05,2005-01-28,117.489998,117.550003,116.610001,117.43,60738900,Friday,2005-01-31,117.949997,118.25,117.709999,118.160004,52532700,Monday,1,0.4428144426466741,1,0.62165034488631
1/31/05 to 2/7/05,2005-02-04,119.0,120.43,118.980003,120.230003,50024600,Friday,2005-02-07,120.25,120.519997,119.959999,120.07,45412000,Monday,1,0.016632287699438548,0,-0.1330807585524249
2/7/05 to 2/14/05,2005-02-11,119.699997,121.040001,119.459999,120.769997,53133000,Friday,2005-02-14,120.690002,120.860001,120.480003,120.68,32432100,Monday,0,-0.06623747783979551,0,-0.07451933612285903
2/14/05 to 2/21/05,2005-02-18,120.239998,120.480003,119.900002,120.389999,47723300,Friday,2005-02-22,119.900002,120.470001,118.580002,118.599998,80697600,Tuesday,0,-0.40700806052835203,0,-1.4868352976728605
2/21/05 to 2/28/05,2005-02-25,120.269997,121.669998,120.18,121.43,60899900,Friday,2005-02-28,121.150002,121.300003,120.040001,120.629997,69381300,Monday,0,-0.23058387548382295,0,-0.6588182491970714
2/28/05 to 3/7/05,2005-03-04,122.050003,122.830002,121.790001,122.730003,56168500,Friday,2005-03-07,122.660004,123.25,122.400002,122.790001,43442400,Monday,0,-0.057034953384622424,1,0.048886171704898694
3/7/05 to 3/14/05,2005-03-11,121.309998,121.720001,120.160004,120.389999,57976500,Friday,2005-03-14,120.610001,121.160004,120.279999,121.139999,36336400,Monday,1,0.18274109297068256,1,0.6229753353515685
3/14/05 to 3/21/05,2005-03-18,119.110001,119.529999,118.150002,118.540001,60232000,Friday,2005-03-21,118.709999,118.779999,117.760002,118.099998,61244300,Monday,1,0.14340981826041366,0,-0.37118525079142217
3/21/05 to 3/28/05,2005-03-24,117.459999,117.989998,117.059998,117.139999,51932500,Thursday,2005-03-28,117.419998,117.940002,117.309998,117.309998,46765500,Monday,1,0.23902936861046384,1,0.1451246384251634
3/28/05 to 4/4/05,2005-04-01,118.629997,118.989998,116.910004,117.43,95255300,Friday,2005-04-04,117.360001,117.860001,116.739998,117.629997,71581200,Monday,0,-0.05960912884272325,1,0.1703116750404464
4/4/05 to 4/11/05,2005-04-08,119.169998,119.209999,118.0,118.0,63772900,Friday,2005-04-11,118.290001,118.419998,117.830002,118.089996,44945000,Monday,1,0.24576355932203706,1,0.0762677966101689
4/11/05 to 4/18/05,2005-04-15,115.739998,116.199997,114.099998,114.150002,128677300,Friday,2005-04-18,114.120003,114.959999,113.959999,114.5,100035200,Monday,0,-0.026280332434863787,1,0.3066123467961038
4/18/05 to 4/25/05,2005-04-22,115.739998,116.5,114.269997,115.57,88845800,Friday,2005-04-25,115.860001,116.5,115.720001,116.330002,52284100,Monday,1,0.25093103746647377,1,0.6576118369819158
4/25/05 to 5/2/05,2005-04-29,115.07,115.870003,113.970001,115.75,103993800,Friday,2005-05-02,116.07,116.410004,115.519997,116.400002,56026400,Monday,1,0.2764578833693246,1,0.5615568034557241
5/2/05 to 5/9/05,2005-05-06,117.93,117.989998,117.059998,117.089996,67415400,Friday,2005-05-09,117.209999,118.080002,117.050003,117.82,43750500,Monday,1,0.10248783337561732,1,0.6234554829090556
5/9/05 to 5/16/05,2005-05-13,116.300003,116.620003,114.800003,115.720001,85267000,Friday,2005-05-16,115.699997,116.839996,115.660004,116.800003,49207000,Monday,0,-0.0172865536010496,1,0.9332889653189749
5/16/05 to 5/23/05,2005-05-20,119.339996,119.389999,118.739998,119.120003,46345500,Friday,2005-05-23,119.209999,120.040001,119.190002,119.779999,51047900,Monday,1,0.07555070326853443,1,0.5540597577050151
5/23/05 to 5/30/05,2005-05-27,120.059998,120.25,119.800003,120.25,24596100,Friday,2005-05-31,120.080002,120.169998,119.400002,119.480003,43377200,Tuesday,0,-0.1413704781704838,0,-0.6403301455301486
5/30/05 to 6/6/05,2005-06-03,120.550003,120.889999,119.730003,120.150002,60999400,Friday,2005-06-06,119.949997,120.199997,119.550003,120.040001,36046400,Monday,0,-0.16646275211880932,0,-0.0915530571526723
6/6/05 to 6/13/05,2005-06-10,120.559998,120.650002,119.599998,120.199997,36465300,Friday,2005-06-13,119.940002,121.080002,119.809998,120.580002,49383200,Monday,0,-0.21630200207075656,1,0.3161439346791307
6/13/05 to 6/20/05,2005-06-17,121.540001,121.900002,121.220001,121.360001,51529400,Friday,2005-06-20,121.080002,121.839996,120.940002,121.400002,41019400,Monday,0,-0.23071769750562515,1,0.03296061278048583
6/20/05 to 6/27/05,2005-06-24,119.879997,120.010002,118.839996,118.980003,58572500,Friday,2005-06-27,118.970001,119.410004,118.75,119.150002,48183800,Monday,0,-0.008406454654401098,1,0.14288031241687246
