Date,Open,High,Low,Close,Adj Close,Volume
1/2/03,88.849998,91.300003,88.540001,91.07,61.36655,44516300
1/3/03,90.910004,91.379997,90.5,91.349998,61.555244,32222600
1/6/03,91.239998,93.489998,91.169998,92.959999,62.640125,40984500
1/7/03,92.900002,93.370003,92.199997,92.730003,62.485168,38640400
1/8/03,92.199997,92.400002,91.050003,91.389999,61.58218,38702200
1/9/03,91.82,93.18,91.410004,92.809998,62.539024,34804900
1/10/03,91.949997,93.639999,91.800003,93.059998,62.70752,37768900
1/13/03,93.540001,93.860001,92.440002,93.029999,62.687256,31649900
1/14/03,92.690002,93.830002,92.410004,93.330002,62.889412,30733000
1/15/03,93.540001,93.57,91.910004,92.400002,62.262775,33511800
1/16/03,92.5,92.93,91.449997,92.019997,62.006699,44812100
1/17/03,90.989998,92.300003,90.150002,90.660004,61.090279,35618300
1/21/03,90.870003,90.919998,88.949997,89.25,60.140179,36826200
1/22/03,88.769997,89.800003,88,88.169998,59.412434,42286500
1/23/03,88.75,89.379997,87.949997,88.709999,59.776299,55919800
1/24/03,88.589996,88.68,86.169998,86.379997,58.206253,68633900
1/27/03,85.730003,86.800003,84.5,85.199997,57.411114,57884400
1/28/03,85.629997,86.400002,85.129997,85.830002,57.835613,46929100
1/29/03,85.419998,87.18,84.769997,86.480003,58.273628,53712200
1/30/03,86.790001,86.879997,84.400002,84.43,56.892292,49845900
1/31/03,84.150002,86.209999,84.150002,86.059998,57.990631,55317000
2/3/03,86.139999,86.809998,85.919998,86.230003,58.105164,39696000
2/4/03,85.309998,85.75,84.300003,85.379997,57.532436,43633400
2/5/03,85.75,86.540001,84.480003,84.849998,57.175289,55270600
2/6/03,84.370003,84.889999,83.650002,84.449997,56.90575,53638000
2/7/03,84.910004,84.989998,82.970001,83.419998,56.211704,43165000
2/10/03,83.459999,84.129997,82.650002,84.010002,56.609234,45455900
2/11/03,84.370003,84.879997,82.830002,83.43,56.218449,46861000
2/12/03,83.160004,83.620003,82.089996,82.099998,55.322201,35873600
2/13/03,82.150002,82.660004,81,82.349998,55.490669,57934100
2/14/03,82.370003,84.199997,81.82,84.150002,56.703587,59580900
2/18/03,84.529999,85.800003,84.389999,85.629997,57.700825,39492700
2/19/03,85.32,85.470001,84.279999,85.18,57.397636,31432000
2/20/03,85.209999,85.419998,84.050003,84.330002,56.824886,29280100
2/21/03,84.379997,85.739998,83.459999,85.18,57.397636,60955800
2/24/03,84.93,85,83.589996,83.800003,56.467781,30628600
2/25/03,82.949997,84.489998,82.220001,84.470001,56.919235,56770600
2/26/03,84.019997,84.529999,83.080002,83.239998,56.090382,37787200
2/27/03,83.699997,84.75,83.160004,84.339996,56.831589,51126000
2/28/03,84.470001,85.230003,84.160004,84.900002,57.208996,43666800
3/3/03,85.260002,85.779999,83.720001,84.089996,56.663162,42923100
3/4/03,83.949997,84.010002,82.650002,82.75,55.760208,31440500
3/5/03,82.610001,83.540001,82.360001,83.449997,56.231899,43974700
3/6/03,82.870003,83.519997,82.470001,82.75,55.760208,41217700
3/7/03,81.610001,83.989998,81.43,83.32,56.144291,63538000
3/10/03,82.599998,82.860001,81.099998,81.32,54.796631,41014100
3/11/03,81.480003,82,80.480003,80.519997,54.257545,48102700
3/12/03,80.379997,81.099998,79.379997,81.059998,54.621414,62459800
3/13/03,82.18,83.910004,81.529999,83.860001,56.508179,72117800
3/14/03,84.199997,84.769997,83.349998,84.129997,56.690105,63951800
3/17/03,83.459999,86.949997,83.220001,86.779999,58.475807,88217500
3/18/03,87.150002,87.349998,86.279999,87.290001,58.819431,50792300
3/19/03,87.279999,88.160004,86.68,87.959999,59.270943,49630800
3/20/03,87.330002,88.589996,86.349998,88.150002,59.398952,67321600
3/21/03,88.800003,89.879997,87.93,89.669998,60.666824,71165300
3/24/03,88.019997,88.139999,86.349998,86.690002,58.650669,65398900
3/25/03,86.739998,88.260002,86.440002,87.519997,59.212219,61040100
3/26/03,87.559998,87.849998,86.800003,87.080002,58.914532,45740800
3/27/03,86.400002,87.660004,85.989998,87.150002,58.961876,53120200
3/28/03,86.470001,87.279999,86.25,86.709999,58.664227,32583000
3/31/03,85.349998,86.589996,84.400002,84.739998,57.331394,61119500
4/1/03,85.25,86.389999,84.910004,86.040001,58.210926,53574000
4/2/03,87.540001,88.769997,87.5,88.120003,59.618156,50431200
4/3/03,88.870003,88.989998,87.650002,87.699997,59.333977,48755500
4/4/03,88.43,88.589996,87.620003,88.220001,59.685814,36250100
4/7/03,90.339996,90.849998,87.970001,88.050003,59.570816,69776200
4/8/03,88.300003,88.650002,87.709999,88.190002,59.665516,39712700
4/9/03,88.360001,89.099998,86.769997,87.029999,58.88068,55647300
4/10/03,87.089996,87.629997,85.709999,87.510002,59.205456,41812400
4/11/03,88.160004,88.699997,86.860001,87.150002,58.961876,47730100
4/14/03,87.470001,89,87,88.949997,60.179695,36711700
