"PrecedingWeekToFollowingWeek","PrecedingWeekThursdayDate","PrecedingWeekThursdayOpen","PrecedingWeekThursdayHigh","PrecedingWeekThursdayLow","PrecedingWeekThursdayClose","PrecedingWeekThursdayVolume","PrecedingWeekThursdayDayOfTheWeek","UnemploymentRateOutcome","wasItPresidentialElectionWeek","PrecedingWeekFridayDate","PrecedingWeekFridayOpen","PrecedingWeekFridayHigh","PrecedingWeekFridayLow","PrecedingWeekFridayClose","PrecedingWeekFridayVolume","PrecedingWeekFridayDayOfTheWeek","PrecedingWeekFridayVolumeToPrecedingWeekThursdayVolumeRatio","FollowingWeekMondayDate","FollowingWeekMondayOpen","FollowingWeekMondayHigh","FollowingWeekMondayLow","FollowingWeekMondayClose","FollowingWeekMondayVolume","FollowingWeekMondayDayOfTheWeek","didFridayCloseHigherThanThursdayClose","FridayCloseComparedToThursdayCloseChangeInPercent","wasFridayIntradayPositive","FridayIntradayChangeInPercent","WasMondayOpenHigherThanFridayClose","MondayOpenComparedToFridayCloseChangeInPercent","MondayOpenToFridayCloseRatio","WasMondayCloseHigherThanFridayClose","MondayCloseComparedToFridayCloseChangeInPercent","fridayWasATripleWitchDay","NFPDayOrNot","NFPOutcome","CSIOutcome","CSIActualMinusExpected","CSIDayOrNot","wasItFOMCWeek","FOMCMeetingDate","FOMCAction","FOMCActualVSExpected","FOMCActionSpecial","FOMCPivotAction","PrecedingWeekFridayMonth","UnemploymentActualMinusPreviousInPercent","isItLastFridayOfTheMonth","NFPOutcomeIsShock","CSIOutcomeIsShock","PrecedingWeekFridayVolumePrecedingWeekThursdayVolumeRATIO","Month","Monthclose","FridayVolumeMinusThursdayVolume","wasFridayOpenHigherThanThursdayClose","wasFridayHighHigherThanThursdayHigh","wasFridayLowLowerThanThursdayLow","wasFridayHighLowerThanThursdayLow","wasFridayLowHigherThanThursdayHigh","PrecedingWeekFridayHighMinusPrecedingWeekFridayOpen","FridayCloseMinusThursdayHighInPercent","wasFridayCloseHigherThanThursdayHigh","non_random_modelOPEN_predict","mixed_modelOPEN_predict","non_random_modelCLOSE_predict","mixed_modelCLOSE_predict"
"2003-01-06 to 2003-01-13","1/9/03",86.650002,88.019997,86.629997,87.779999,8806000,"Thursday","",0,"1/10/03",86.919998,88.379997,86.699997,87.989998,7426900,"Friday",0.84339087,"1/13/03",88.510002,88.879997,87.580002,88.089996,6227800,"Monday",1,0.23923331327447,1,1.23101705547668,1,0.590980806704871,1.005909808,1,0.113647007924695,0,0,"Shock","",0,0,0,"","","","","","Jan",0,0,1,0,0.843390869861458,"Odd","Odd",-1379100,0,1,1,0,0,1.459999,-0.0340820279737156,0,1,1,1,1
"2003-01-20 to 2003-01-27","1/23/03",83.699997,84.029999,82.690002,83.440002,9120000,"Thursday","",0,"1/24/03",83.300003,83.43,81.18,81.400002,10175000,"Friday",1.115679825,"1/27/03",80.800003,81.800003,79.610001,80.150002,10515700,"Monday",0,-2.444870507,0,-2.280913483,0,-0.73709949,0.992629005,0,-1.535626498,0,0,"Baseline","",0,0,0,"","","","","","Jan",0,0,0,0,1.1156798245614,"Odd","Odd",1055000,0,0,0,0,0,0.129997000000003,-3.12983104998014,0,1,1,1,1
"2003-01-27 to 2003-02-03","1/30/03",81.300003,81.57,79.300003,79.300003,10124300,"Thursday","",0,"1/31/03",79.139999,81.029999,79.139999,80.839996,10294800,"Friday",1.01684067,"2/3/03",80.970001,81.629997,80.82,81.120003,5464800,"Monday",1,1.94198353309015,1,2.14808822527278,1,0.160817672479842,1.001608177,1,0.346371862759614,0,0,"Baseline","",0,0,0,"","","","","","Jan",0,1,0,0,1.01684067046611,"Odd","Odd",170500,0,0,0,0,0,1.89,-0.894941767806784,0,1,1,1,1
"2003-02-03 to 2003-02-10","2/6/03",79.739998,80.150002,79,79.669998,8836300,"Thursday","",0,"2/7/03",80.110001,80.239998,78.400002,78.849998,7624500,"Friday",0.862861152,"2/10/03",78.959999,79.529999,78.099998,79.43,7264700,"Monday",0,-1.029245664,0,-1.572841074,1,0.139506661750324,1.001395067,1,0.735576429564408,0,0,"Upbeat","",0,0,0,"","","","","","Feb",0,0,0,0,0.862861152292249,"Even","Even",-1211800,1,1,0,0,0,0.129997000000003,-1.62196377736834,0,1,1,1,1
"2003-02-17 to 2003-02-24","2/20/03",80.550003,80.720001,79.279999,79.620003,5209100,"Thursday","",0,"2/21/03",79.529999,80.550003,78.550003,80.239998,7826700,"Friday",1.502505231,"2/24/03",79.82,79.949997,78.599998,78.709999,6710800,"Monday",1,0.778692510222592,1,0.892743629985455,0,-0.523427231,0.994765728,0,-1.906778462,0,0,"Baseline","",0,0,0,"","","","","","Feb",0,0,0,0,1.50250523122996,"Even","Even",2617600,0,0,0,0,0,1.020004,-0.594651875685676,0,1,1,1,1
"2003-02-24 to 2003-03-03","2/27/03",78.68,79.459999,77.900002,79.040001,9911300,"Thursday","",0,"2/28/03",79.169998,79.779999,78.620003,79.309998,9119400,"Friday",0.920101299,"3/3/03",79.68,79.93,78.330002,78.589996,7116100,"Monday",1,0.341595390415025,1,0.176834664,1,0.466526301009381,1.004665263,0,-0.907832579,0,0,"Baseline","",0,0,0,"","","","","","Feb",0,1,0,0,0.920101298517853,"Even","Even",-791900,1,1,1,0,0,0.610000999999997,-0.188775486896247,0,1,1,1,1
"2003-03-03 to 2003-03-10","3/6/03",77.330002,77.900002,76.730003,76.870003,8054100,"Thursday","",0,"3/7/03",75.949997,77.580002,75.779999,77.550003,11889500,"Friday",1.476204666,"3/10/03",76.75,77.029999,75.669998,75.779999,7240100,"Monday",1,0.884610346639387,1,2.10665709440384,0,-1.03159635,0.989684037,0,-2.282403522,0,0,"Shock","",0,0,0,"","","","","","Mar",0,0,1,0,1.47620466594654,"Odd","Odd",3835400,0,0,0,0,0,1.630005,-0.449292671391712,0,1,0,1,1
"2003-03-10 to 2003-03-17","3/13/03",76.800003,78.5,76.330002,78.440002,12660000,"Thursday","",0,"3/14/03",78.849998,79.550003,78.150002,78.959999,12985500,"Friday",1.0257109,"3/17/03",78.279999,81.75,77.860001,81.459999,14688600,"Monday",1,0.662923236539425,1,0.139506661750324,0,-0.861195553,0.991388044,1,3.16616012115198,0,0,"Baseline","",0,0,0,"","","","","","Mar",0,0,0,0,1.02571090047393,"Odd","Odd",325500,1,1,1,0,0,0.700005000000004,0.585985987261142,1,0,0,1,1
"2003-03-17 to 2003-03-24","3/20/03",82.300003,83.449997,81.470001,83.120003,14858500,"Thursday","",0,"3/21/03",83.82,85.360001,83.300003,85.129997,17259100,"Friday",1.161564088,"3/24/03",83.449997,83.639999,81.879997,82.239998,16257600,"Monday",1,2.41818326209638,1,1.56286924361729,0,-1.973452437,0.980265476,0,-3.394806886,1,0,"Baseline","",0,0,0,"","","","","","Mar",0,0,0,0,1.16156408789582,"Odd","Odd",2400600,1,1,1,0,0,1.540001,2.01318161820905,1,0,0,0,0
"2003-03-24 to 2003-03-31","3/27/03",81.620003,82.610001,81.169998,82.029999,9004000,"Thursday","",0,"3/28/03",81.550003,82.150002,81.199997,81.57,6382700,"Friday",0.708873834,"3/31/03",80.400002,80.900002,79.379997,79.82,13382600,"Monday",0,-0.560769238,1,0.0245211517649967,0,-1.434348412,0.985656516,0,-2.145396592,0,0,"Baseline","",0,0,0,"","","","","","Mar",0,1,0,0,0.708873833851622,"Odd","Odd",-2621300,0,0,1,0,0,0.599998999999997,-1.25892868588635,0,1,1,1,1
"2003-03-31 to 2003-04-07","4/3/03",83.510002,83.849998,82.370003,82.370003,9865400,"Thursday","",0,"4/4/03",83.07,83.25,82.300003,82.889999,7441300,"Friday",0.754282644,"4/7/03",84.910004,85.400002,82.919998,82.93,11794900,"Monday",1,0.631292923,0,-0.216685928,1,2.43697071343914,1.024369707,1,0.048257933,0,0,"Baseline","",0,0,0,"","","","","","Apr",0,0,0,0,0.754282644393537,"Even","Even",-2424100,1,0,0,0,0,0.180000000000007,-1.14490044472034,0,0,0,1,1
"2003-04-07 to 2003-04-14","4/10/03",82.309998,82.470001,81.559998,82.459999,6487000,"Thursday","",0,"4/11/03",83.029999,83.580002,81.919998,82.199997,8296700,"Friday",1.278973331,"4/14/03",82.389999,83.849998,82.25,83.839996,6729600,"Monday",0,-0.315306819,0,-0.999641106,1,0.231145993837453,1.00231146,1,1.99513267622139,0,0,"Baseline","",0,0,0,"","","","","","Apr",0,0,0,0,1.27897333127794,"Even","Even",1809700,1,1,1,0,0,0.55000299999999,-0.327396625107353,0,1,1,1,1
"2003-04-21 to 2003-04-28","4/24/03",84.57,84.989998,84.050003,84.440002,8655300,"Thursday","",0,"4/25/03",84.199997,84.370003,82.849998,83.160004,7864500,"Friday",0.908634016,"4/28/03",83.43,85.150002,83.190002,84.790001,7362400,"Monday",0,-1.515866852,0,-1.235146125,1,0.324670499053855,1.003246705,1,1.96007325829374,0,0,"Baseline","",0,0,0,"","","","","","Apr",0,1,0,0,0.908634016151953,"Even","Even",-790800,0,0,0,0,0,0.170006000000001,-2.15318748448494,0,1,1,1,1
"2003-04-28 to 2003-05-05","5/1/03",84.75,84.93,83.5,84.610001,11239800,"Thursday","",0,"5/2/03",84.25,86.029999,84.209999,85.809998,10966000,"Friday",0.975640136,"5/5/03",86,86.190002,85.099998,85.5,8211300,"Monday",1,1.41826850941651,1,1.8516296735905,1,0.221421750878035,1.002214218,0,-0.361260934,0,0,"Baseline","",0,0,0,"","","","","","May",0,0,0,0,0.975640135945479,"Odd","Even",-273800,0,1,1,0,0,1.779999,1.03614506063816,1,1,1,1,1
"2003-05-05 to 2003-05-12","5/8/03",85.029999,85.949997,84.870003,85.129997,8723100,"Thursday","",0,"5/9/03",85.360001,86.290001,85.199997,86.169998,6890700,"Friday",0.789937064,"5/12/03",85.949997,87.589996,85.809998,87.339996,8109500,"Monday",1,1.22166220680121,1,0.948918686165444,0,-0.255310439,0.997446896,1,1.35777884084434,0,0,"Baseline","",0,0,0,"","","","","","May",0,0,0,0,0.789937063658562,"Odd","Even",-1832400,1,1,1,0,0,0.930000000000007,0.255963941453088,1,0,0,0,0
"2003-05-12 to 2003-05-19","5/15/03",87.199997,87.699997,86.660004,87.32,7470100,"Thursday","",0,"5/16/03",87.089996,87.599998,86.529999,86.989998,7413900,"Friday",0.992476674,"5/19/03",86.279999,87.150002,84.900002,85.169998,9799700,"Monday",0,-0.377922584,0,-0.114821454,0,-0.816184638,0.991838154,0,-2.092194553,0,0,"Baseline","",0,0,0,"","","","","","May",0,0,0,0,0.992476673672374,"Odd","Even",-56200,0,0,0,0,0,0.510002,-0.809576994626347,0,1,1,1,1
"2003-05-26 to 2003-06-02","5/29/03",88.25,88.900002,87.050003,87.400002,8634400,"Thursday","",0,"5/30/03",87.769997,88.980003,87.709999,88.839996,7883900,"Friday",0.913080237,"6/2/03",89.410004,90.910004,89.050003,89.339996,9531700,"Monday",1,1.64759035131372,1,1.21909426520773,1,0.641611915,1.006416119,1,0.562809570590255,0,0,"Baseline","",0,0,0,"","","","","","May",0,1,0,0,0.913080237190772,"Odd","Even",-750500,1,1,1,0,0,1.21000599999999,-0.0674983111923904,0,1,1,0,0
"2003-06-02 to 2003-06-09","6/5/03",90.129997,90.769997,89.940002,90.739998,7943400,"Thursday","",0,"6/6/03",91.470001,92.489998,90.75,90.870003,10657300,"Friday",1.341654707,"6/9/03",90.410004,90.940002,89.699997,90.230003,7852500,"Monday",1,0.143271989051617,0,-0.655950578,0,-0.506216556,0.994937834,0,-0.704302827,0,0,"Baseline","",0,0,0,"","","","","","Jun",0,0,0,0,1.3416547070524,"Even","Odd",2713900,1,1,1,0,0,1.019997,0.110175171648395,1,0,0,1,1
"2003-06-09 to 2003-06-16","6/12/03",92.610001,92.699997,91.5,92.43,8582500,"Thursday","",0,"6/13/03",92.400002,92.529999,91.050003,91.580002,6188100,"Friday",0.721013691,"6/16/03",91.980003,93.559998,91.809998,93.5,8098900,"Monday",0,-0.91961268,0,-0.887445868,1,0.436777671,1.004367777,1,2.09652539645064,0,0,"Baseline","",0,0,0,"","","","","","Jun",0,0,0,0,0.721013690649578,"Even","Odd",-2394400,0,0,0,0,0,0.129997000000003,-1.20819313510873,0,1,1,1,1
"2003-06-16 to 2003-06-23","6/19/03",93.300003,93.510002,91.839996,92.120003,9831000,"Thursday","",0,"6/20/03",92.669998,92.870003,91.800003,91.839996,8022600,"Friday",0.816051266,"6/23/03",91.839996,91.889999,90.489998,90.900002,11290200,"Monday",0,-0.303958957,0,-0.895653413,0,0,1,0,-1.023512675,1,0,"Baseline","",0,0,0,"","","","","","Jun",0,0,0,0,0.816051266402197,"Even","Odd",-1808400,1,0,0,0,0,0.20000499999999,-1.78591162900414,0,1,1,0,0
"2003-06-23 to 2003-06-30","6/26/03",90.209999,91.110001,90.019997,90.830002,7084700,"Thursday","",0,"6/27/03",90.860001,91.199997,89.779999,89.870003,7029600,"Friday",0.992222677,"6/30/03",90.370003,90.779999,89.790001,89.910004,5865400,"Monday",0,-1.056918396,0,-1.089586165,1,0.55635916691802,1.005563592,1,0.044509846,0,0,"Baseline","",0,0,1,"6/25/03","Hike","Match","","","Jun",0,1,0,0,0.992222677036431,"Even","Odd",-55100,1,1,0,0,0,0.339995999999999,-1.36098999713544,0,1,1,1,1
"2003-07-07 to 2003-07-14","7/10/03",91.239998,91.339996,90.110001,90.589996,7534400,"Thursday","",0,"7/11/03",90.690002,91.690002,90.669998,91.389999,4634600,"Friday",0.615125292,"7/14/03",92.57,93,91.5,91.849998,6303200,"Monday",1,0.88310303,1,0.771856858047038,1,1.29117082056209,1.012911708,1,0.503336256738548,0,0,"Baseline","",0,0,0,"","","","","","Jul",0,0,0,0,0.615125291994054,"Even","Odd",-2899800,1,1,1,0,0,1,0.0547438167174912,1,0,0,0,0
"2003-07-14 to 2003-07-21","7/17/03",90.699997,91.339996,90.389999,90.720001,8581700,"Thursday","",0,"7/18/03",91.089996,91.959999,90.800003,91.830002,6411800,"Friday",0.747148001,"7/21/03",91.809998,91.879997,90.800003,91.150002,8945900,"Monday",1,1.22354606235068,1,0.812389979685578,0,-0.02178373,0.999782163,0,-0.740498732,0,0,"Baseline","",0,0,0,"","","","","","Jul",0,0,0,0,0.747148000978827,"Even","Odd",-2169900,1,1,1,0,0,0.870002999999997,0.536463785262257,1,0,0,0,0
"2003-07-21 to 2003-07-28","7/24/03",92.68,92.970001,91.150002,91.239998,6703400,"Thursday","",0,"7/25/03",91.379997,92.93,90.919998,92.910004,8848600,"Friday",1.320016708,"7/28/03",93.059998,93.150002,92.400002,92.660004,5665800,"Monday",1,1.83034418742534,1,1.67433470149928,1,0.161440096375405,1.001614401,0,-0.26907759,0,0,"Baseline","",0,0,0,"","","","","","Jul",0,1,0,0,1.32001670793925,"Even","Odd",2145200,1,0,0,0,0,1.550003,-0.0645337198608782,0,1,1,1,1
"2003-07-28 to 2003-08-04","7/31/03",92.910004,93.769997,92.300003,92.470001,10218800,"Thursday","BASELINE",0,"8/1/03",92.489998,92.550003,91.5,91.790001,6744800,"Friday",0.660038361,"8/4/03",91.599998,92.239998,90.599998,91.940002,7649300,"Monday",0,-0.735373627,0,-0.75683535,0,-0.206997492,0.997930025,1,0.163417581834434,0,0,"Baseline","Baseline",0.400000000000006,1,0,"","","","","","Aug",-0.1,0,0,0,0.660038360668572,"Even","Even",-3474000,1,0,0,0,0,0.0600050000000039,-2.11154533789737,0,0,0,1,1
"2003-08-04 to 2003-08-11","8/7/03",90.800003,91.550003,90.43,91.550003,6172200,"Thursday","",0,"8/8/03",91.779999,92.199997,91.449997,92.190002,4950100,"Friday",0.801999287,"8/11/03",92.050003,92.660004,91.599998,92.440002,5897700,"Monday",1,0.699070430396385,1,0.44672369194513,0,-0.151859201,0.998481408,1,0.271179080785788,0,0,"Baseline","",0,0,0,"","","","","","Aug",0,0,0,0,0.801999287126146,"Even","Even",-1222100,1,1,1,0,0,0.419997999999993,0.699070430396385,1,0,0,1,1
"2003-08-11 to 2003-08-18","8/14/03",93.050003,93.580002,92.410004,93.099998,6255900,"Thursday","",0,"8/15/03",93.150002,93.519997,92.900002,93.330002,3955800,"Friday",0.632331079,"8/18/03",93.720001,94.389999,93.540001,94.279999,5725200,"Monday",1,0.247050488658436,1,0.193236710826901,1,0.417870986437998,1.00417871,1,1.01789025998308,0,0,"Baseline","",0,0,0,"","","","","","Aug",0,0,0,0,0.632331079460989,"Even","Even",-2300100,1,0,1,0,0,0.369995000000003,-0.267151094952958,0,0,0,0,0
"2003-08-18 to 2003-08-25","8/21/03",94.589996,95.050003,94.099998,94.440002,6866500,"Thursday","",0,"8/22/03",95.160004,95.239998,93.650002,93.709999,5891900,"Friday",0.858064516,"8/25/03",93.519997,94,93.010002,93.480003,4386600,"Monday",0,-0.772980712,0,-1.523754665,0,-0.202755311,0.997972447,0,-0.245433788,0,0,"Baseline","",0,0,0,"","","","","","Aug",0,0,0,0,0.858064516129032,"Even","Even",-974600,1,1,0,0,0,0.0799939999999992,-1.40978848785518,0,1,1,1,1
"2003-09-01 to 2003-09-08","9/4/03",95.910004,96.489998,95.650002,96.209999,4861500,"Thursday","",0,"9/5/03",95.690002,95.949997,94.860001,95.379997,7304100,"Friday",1.502437519,"9/8/03",95.669998,96.239998,95.309998,96.120003,3895200,"Monday",0,-0.862698273,0,-0.323968015,1,0.304048028015773,1.00304048,1,0.775850307481131,0,0,"Baseline","",0,0,0,"","","","","","Sep",0,0,0,0,1.50243751928417,"Even","Even",2442600,0,0,0,0,0,0.259994999999989,-1.15037933776307,0,1,1,1,1
"2003-09-08 to 2003-09-15","9/11/03",94.739998,95.339996,94.529999,94.970001,6201700,"Thursday","",0,"9/12/03",94.550003,95.199997,94.099998,95.050003,5043100,"Friday",0.813180257,"9/15/03",95.129997,95.209999,94.25,94.830002,3837800,"Monday",1,0.084239233,1,0.528820712993526,1,0.084159913,1.000841599,0,-0.231458173,0,0,"Baseline","",0,0,0,"","","","","","Sep",0,0,0,0,0.813180257026299,"Even","Even",-1158600,0,0,0,0,0,0.649993999999992,-0.30416720386688,0,1,1,1,1
"2003-09-15 to 2003-09-22","9/18/03",95.980003,96.949997,95.699997,96.949997,5946100,"Thursday","",0,"9/19/03",96.730003,96.989998,96.209999,96.470001,4988400,"Friday",0.838936446,"9/22/03",95.720001,95.849998,95.139999,95.559998,6260600,"Monday",0,-0.495096457,0,-0.268791473,0,-0.777443757,0.992225562,0,-0.943301535,1,0,"Baseline","",0,0,0,"","","","","","Sep",0,0,0,0,0.838936445737542,"Even","Even",-957700,0,1,1,0,0,0.259995000000004,-0.495096456784831,0,1,1,0,0
"2003-09-22 to 2003-09-29","9/25/03",94.57,94.739998,93.220001,93.25,7249000,"Thursday","",0,"9/26/03",93.620003,93.739998,93.129997,93.300003,6563600,"Friday",0.905449027,"9/29/03",93.510002,94.110001,93.050003,93.919998,6895700,"Monday",1,0.05362252,0,-0.341807295,1,0.225079306803448,1.002250793,1,0.664517663520335,0,0,"Baseline","",0,0,0,"","","","","","Sep",0,1,0,0,0.905449027452062,"Even","Even",-685400,1,0,0,0,0,0.119995000000003,-1.51994408950694,0,1,1,1,1
"2003-09-29 to 2003-10-06","10/2/03",94.57,95.290001,94.449997,95.190002,6458500,"Thursday","",0,"10/3/03",96.32,96.860001,95.699997,95.919998,6949100,"Friday",1.075961911,"10/6/03",96.010002,96.440002,95.769997,96.199997,3654400,"Monday",1,0.766883059840675,0,-0.415284468,1,0.093832362,1.000938324,1,0.291908888488498,0,0,"Upbeat","",0,0,0,"","","","","","Oct",0,0,0,0,1.07596191066037,"Even","Even",490600,1,1,1,0,1,0.540001000000004,0.661136523652679,1,0,0,1,1
"2003-10-06 to 2003-10-13","10/9/03",97.449997,97.900002,96.650002,97.139999,6368000,"Thursday","",0,"10/10/03",97.080002,97.339996,96.779999,97.290001,2693400,"Friday",0.422958543,"10/13/03",97.5,98.019997,97.459999,97.900002,4450500,"Monday",1,0.154418366835685,1,0.216315405514733,1,0.215848491974007,1.002158485,1,0.626992490214896,0,0,"Baseline","",0,0,0,"","","","","","Oct",0,0,0,0,0.422958542713568,"Even","Even",-3674600,0,0,1,0,0,0.259994000000006,-0.623085789109582,0,1,1,1,1
"2003-10-13 to 2003-10-20","10/16/03",97.68,98.5,97.550003,98.18,7649400,"Thursday","",0,"10/17/03",98.25,98.370003,97.139999,97.300003,6300000,"Friday",0.823594007,"10/20/03",97.550003,98,97.190002,97.970001,4402000,"Monday",0,-0.896309839,0,-0.966918066,1,0.256937299375006,1.002569373,1,0.688589906826614,0,0,"Baseline","",0,0,0,"","","","","","Oct",0,0,0,0,0.823594007373127,"Even","Even",-1349400,1,0,0,0,0,0.120002999999997,-1.21827106598984,0,1,1,1,1
"2003-10-20 to 2003-10-27","10/23/03",95.650002,96.5,95.639999,95.949997,6921600,"Thursday","",0,"10/24/03",95.43,96.18,95.099998,96.18,6605300,"Friday",0.954302473,"10/27/03",96.449997,96.769997,96.059998,96.290001,3797100,"Monday",1,0.239711315467796,1,0.785916378497328,1,0.280720524017456,1.002807205,1,0.114369931378662,0,0,"Baseline","",0,0,0,"","","","","","Oct",0,0,0,0,0.954302473416551,"Even","Even",-316300,0,0,0,0,0,0.75,-0.331606217616573,0,1,1,1,1
"2003-10-27 to 2003-11-03","10/30/03",98.550003,98.599998,97.739998,98.300003,7224500,"Thursday","",0,"10/31/03",98.230003,98.550003,97.970001,98.029999,5322700,"Friday",0.736756869,"11/3/03",98.449997,99.150002,98.449997,98.510002,5379000,"Monday",0,-0.27467344,0,-0.203607853,1,0.428438237564393,1.004284382,1,0.489649092009066,0,0,"Baseline","",0,0,0,"","","","","","Oct",0,1,0,0,0.736756868987473,"Even","Even",-1901800,0,0,1,0,0,0.320000000000007,-0.578092303815255,0,1,1,1,1
"2003-11-03 to 2003-11-10","11/6/03",98.349998,98.959999,97.949997,98.93,5902800,"Thursday","",0,"11/7/03",99.279999,99.349998,98.110001,98.110001,4668600,"Friday",0.790912787,"11/10/03",98.339996,98.5,97.599998,97.809998,4654200,"Monday",0,-0.828867886,0,-1.17848309,1,0.234425642295124,1.002344256,0,-0.305782282,0,0,"Baseline","",0,0,0,"","","","","","Nov",0,0,0,0,0.79091278715186,"Even","Even",-1234200,1,1,1,0,0,0.0699989999999957,-0.858930889843682,0,1,1,1,1
"2003-11-10 to 2003-11-17","11/13/03",98.480003,98.910004,98.279999,98.720001,4045600,"Thursday","",0,"11/14/03",98.720001,99.309998,97.739998,97.970001,6104900,"Friday",1.509022148,"11/17/03",97.459999,97.709999,96.629997,97.540001,5914800,"Monday",0,-0.759724466,0,-0.759724466,0,-0.520569557,0.994794304,0,-0.438909866,0,0,"Baseline","",0,0,0,"","","","","","Nov",0,0,0,0,1.50902214751829,"Even","Even",2059300,0,1,0,0,0,0.589996999999997,-0.950361906769314,0,1,1,1,1
"2003-11-17 to 2003-11-24","11/20/03",96.660004,97.699997,96.529999,96.540001,6756700,"Thursday","",0,"11/21/03",96.559998,96.620003,95.919998,96.489998,4752900,"Friday",0.703435109,"11/24/03",96.790001,97.650002,96.769997,97.470001,4876800,"Monday",0,-0.05179511,0,-0.072493788,1,0.310916164,1.003109162,1,1.01565242026432,0,0,"Baseline","",0,0,0,"","","","","","Nov",0,0,0,0,0.703435108854914,"Even","Even",-2003800,1,0,0,0,0,0.0600050000000039,-1.23848417313666,0,1,1,1,1
"2003-12-01 to 2003-12-08","12/4/03",98.879997,99.519997,98.860001,99.449997,6236600,"Thursday","",0,"12/5/03",99.150002,99.330002,98.589996,98.800003,5430200,"Friday",0.870698778,"12/8/03",98.730003,99.849998,98.730003,99.809998,5192800,"Monday",0,-0.653588758,0,-0.352999489,0,-0.0708502,0.999291498,1,1.02226211470863,0,0,"Baseline","",0,0,0,"","","","","","Dec",0,0,0,0,0.870698778180419,"Even","Even",-806400,0,0,0,0,0,0.179999999999993,-0.723466661680064,0,1,1,1,1
"2003-12-08 to 2003-12-15","12/11/03",99.580002,100.43,99.519997,100.379997,6778500,"Thursday","",0,"12/12/03",100.32,100.769997,99.93,100.629997,6134200,"Friday",0.904949473,"12/15/03",101.699997,101.779999,100.199997,100.449997,7563800,"Monday",1,0.249053603777255,1,0.309008174,1,1.06330123412405,1.010633012,0,-0.178873105,0,0,"Baseline","",0,0,0,"","","","","","Dec",0,0,0,0,0.904949472597182,"Even","Even",-644300,0,1,1,0,0,0.44999700000001,0.199140695011447,1,1,1,1,1
"2003-12-15 to 2003-12-22","12/18/03",101.889999,102.830002,101.699997,102.809998,10491800,"Thursday","",0,"12/19/03",103.040001,103.07,102.379997,102.739998,10810400,"Friday",1.030366572,"12/22/03",102.610001,103.629997,102.610001,103.610001,6459300,"Monday",0,-0.068086763,0,-0.291151977,0,-0.126530078,0.998734699,1,0.846800678349241,1,0,"Baseline","",0,0,0,"","","","","","Dec",0,0,0,0,1.03036657198955,"Even","Even",318600,1,1,1,0,0,0.0299989999999895,-0.0875269845856789,0,1,1,0,0
"2004-01-05 to 2004-01-12","1/8/04",105.970001,106.059998,105.510002,106.010002,7701000,"Thursday","",0,"1/9/04",105.360001,105.730003,104.620003,104.690002,9382200,"Friday",1.21830931,"1/12/04",104.809998,105.199997,104.599998,105.169998,7877100,"Monday",0,-1.245165527,0,-0.635914003,1,0.114620305385023,1.001146203,1,0.458492683952762,0,0,"Baseline","",0,0,0,"","","","","","Jan",0,0,0,0,1.21830931047916,"Odd","Odd",1681200,0,0,0,0,0,0.370001999999999,-1.29171791988907,0,1,1,1,1
"2004-01-19 to 2004-01-26","1/22/04",106.5,106.75,106.190002,106.489998,6018200,"Thursday","",0,"1/23/04",106.57,106.589996,105.360001,105.860001,6833100,"Friday",1.135405935,"1/26/04",105.779999,107.230003,105.720001,107.18,7087700,"Monday",0,-0.591602039,0,-0.666227831,0,-0.075573398,0.999244266,1,1.246928951002,0,0,"Baseline","",0,0,0,"","","","","","Jan",0,0,0,0,1.1354059353295,"Odd","Odd",814900,1,0,0,0,0,0.0199960000000061,-0.833722716627638,0,1,0,1,1
"2004-01-26 to 2004-02-02","1/29/04",105.449997,105.449997,104.349998,105.080002,12596700,"Thursday","",0,"1/30/04",104.940002,105.230003,104.57,105.080002,8248200,"Friday",0.65479054,"2/2/04",105.199997,105.860001,104.529999,105.300003,6735300,"Monday",0,0,1,0.133409564829231,1,0.114193945295131,1.001141939,1,0.209365241542354,0,0,"Baseline","",0,0,0,"","","","","","Jan",0,1,0,0,0.654790540379623,"Odd","Odd",-4348500,0,0,1,0,0,0.29000099999999,-0.350872461380917,0,1,1,1,1
"2004-02-02 to 2004-02-09","2/5/04",105,105.440002,104.68,105.129997,5332700,"Thursday","",0,"2/6/04",105.230003,106.150002,104.830002,106.010002,6886500,"Friday",1.2913721,"2/9/04",106.059998,106.419998,105.800003,106.120003,3840300,"Monday",1,0.837063659385434,1,0.741232517117769,1,0.0471615876396201,1.000471616,1,0.103764737217906,0,0,"Baseline","",0,0,0,"","","","","","Feb",0,0,0,0,1.29137210043693,"Even","Even",1553800,1,1,1,0,0,0.919999000000004,0.540591795512289,1,0,0,1,1
"2004-02-16 to 2004-02-23","2/19/04",107.650002,107.919998,106.949997,107.099998,6430900,"Thursday","",0,"2/20/04",106.989998,107,105.940002,106.419998,9334700,"Friday",1.451538665,"2/23/04",106.650002,106.68,105.739998,106.230003,7350700,"Monday",0,-0.634920647,0,-0.532760081,1,0.216128551327349,1.002161286,0,-0.178533174,0,0,"Baseline","",0,0,0,"","","","","","Feb",0,0,0,0,1.45153866488361,"Even","Even",2903800,0,0,0,0,0,0.0100020000000001,-1.38991848387544,0,1,1,1,1
