PrecedingWeekToFollowingWeek,PrecedingWeekThursdayDate,PrecedingWeekThursdayOpen,PrecedingWeekThursdayHigh,PrecedingWeekThursdayLow,PrecedingWeekThursdayClose,PrecedingWeekThursdayVolume,PrecedingWeekThursdayDayOfTheWeek,PrecedingWeekFridayDate,PrecedingWeekFridayOpen,PrecedingWeekFridayHigh,PrecedingWeekFridayLow,PrecedingWeekFridayClose,PrecedingWeekFridayVolume,PrecedingWeekFridayDayOfTheWeek,PrecedingWeekFridayVolumeToPrecedingWeekThursdayVolumeRatio,FollowingWeekMondayDate,FollowingWeekMondayOpen,FollowingWeekMondayHigh,FollowingWeekMondayLow,FollowingWeekMondayClose,FollowingWeekMondayVolume,FollowingWeekMondayDayOfTheWeek,didFridayCloseHigherThanThursdayClose,FridayCloseComparedToThursdayCloseChangeInPercent,wasFridayIntradayPositive,FridayIntradayChangeInPercent,WasMondayOpenHigherThanFridayClose,MondayOpenComparedToFridayCloseChangeInPercent,MondayOpenToFridayCloseRatio,WasMondayCloseHigherThanFridayClose,MondayCloseComparedToFridayCloseChangeInPercent,fridayWasATripleWitchDay,NFPDayOrNot,NFPOutcome,CSIOutcome,CSIActualMinusExpected,CSIDayOrNot,wasItFOMCWeek,FOMCMeetingDate,FOMCAction,FOMCActualVSExpected,FOMCActionSpecial
1/6/03 to 1/13/03,1/9/03,91.82,93.18,91.410004,92.809998,34804900,Thursday,1/10/03,91.949997,93.639999,91.800003,93.059998,37768900,Friday,1.085160423,1/13/03,93.540001,93.860001,92.440002,93.029999,31649900,Monday,1,0.269367531,1,1.2071789409628768,1,0.5157994952890614,1.005157995,0,-0.032236192,0,0,Shock,,,0,0,,,,
1/20/03 to 1/27/03,1/23/03,88.75,89.379997,87.949997,88.709999,55919800,Thursday,1/24/03,88.589996,88.68,86.169998,86.379997,68633900,Friday,1.227363116,1/27/03,85.730003,86.800003,84.5,85.199997,57884400,Monday,0,-2.626538188,0,-2.494637205,0,-0.752482082,0.992475179,0,-1.366057005,0,0,Baseline,,,0,0,,,,
1/27/03 to 2/3/03,1/30/03,86.790001,86.879997,84.400002,84.43,49845900,Thursday,1/31/03,84.150002,86.209999,84.150002,86.059998,55317000,Friday,1.109760281,2/3/03,86.139999,86.809998,85.919998,86.230003,39696000,Monday,1,1.930591022148509,1,2.2697515800415458,1,0.092959565,1.000929596,1,0.1975424168613195,0,0,Baseline,,,0,0,,,,
2/3/03 to 2/10/03,2/6/03,84.370003,84.889999,83.650002,84.449997,53638000,Thursday,2/7/03,84.910004,84.989998,82.970001,83.419998,43165000,Friday,0.804746635,2/10/03,83.459999,84.129997,82.650002,84.010002,45455900,Monday,0,-1.219655461,0,-1.754806183,1,0.047951332,1.000479513,1,0.707269257,0,0,Upbeat,,,0,0,,,,
2/17/03 to 2/24/03,2/20/03,85.209999,85.419998,84.050003,84.330002,29280100,Thursday,2/21/03,84.379997,85.739998,83.459999,85.18,60955800,Friday,2.08181666,2/24/03,84.93,85,83.589996,83.800003,30628600,Monday,1,1.0079425825224262,1,0.9480955539735368,0,-0.293496126,0.997065039,0,-1.620095093,0,0,Baseline,,,0,0,,,,
2/24/03 to 3/3/03,2/27/03,83.699997,84.75,83.160004,84.339996,51126000,Thursday,2/28/03,84.470001,85.230003,84.160004,84.900002,43666800,Friday,0.854101631,3/3/03,85.260002,85.779999,83.720001,84.089996,42923100,Monday,1,0.6639862776374822,1,0.5090576475783448,1,0.4240282585623489,1.004240283,0,-0.954070649,0,0,Baseline,,,0,0,,,,
3/3/03 to 3/10/03,3/6/03,82.870003,83.519997,82.470001,82.75,41217700,Thursday,3/7/03,81.610001,83.989998,81.43,83.32,63538000,Friday,1.54152221,3/10/03,82.599998,82.860001,81.099998,81.32,41014100,Monday,1,0.6888217522658527,1,2.0953302034636616,0,-0.864140663,0.991358593,0,-2.400384061,0,0,Shock,,,0,0,,,,
3/10/03 to 3/17/03,3/13/03,82.18,83.910004,81.529999,83.860001,72117800,Thursday,3/14/03,84.199997,84.769997,83.349998,84.129997,63951800,Friday,0.886768592,3/17/03,83.459999,86.949997,83.220001,86.779999,88217500,Monday,1,0.3219604063682352,0,-0.083135395,0,-0.796384196,0.992036158,1,3.149889569115283,0,0,Baseline,,,0,0,,,,
3/17/03 to 3/24/03,3/20/03,87.330002,88.589996,86.349998,88.150002,67321600,Thursday,3/21/03,88.800003,89.879997,87.93,89.669998,71165300,Friday,1.057094603,3/24/03,88.019997,88.139999,86.349998,86.690002,65398900,Monday,1,1.7243289455625943,1,0.9797240660003164,0,-1.840081451,0.981599185,0,-3.323292145,1,0,Baseline,,,0,0,,,,
3/24/03 to 3/31/03,3/27/03,86.400002,87.660004,85.989998,87.150002,53120200,Thursday,3/28/03,86.470001,87.279999,86.25,86.709999,32583000,Friday,0.61338248,3/31/03,85.349998,86.589996,84.400002,84.739998,61119500,Monday,0,-0.50488008,1,0.2775505923724922,0,-1.568447717,0.984315523,0,-2.271942132,0,0,Baseline,,,0,0,,,,
3/31/03 to 4/7/03,4/3/03,88.870003,88.989998,87.650002,87.699997,48755500,Thursday,4/4/03,88.43,88.589996,87.620003,88.220001,36250100,Friday,0.743507912,4/7/03,90.339996,90.849998,87.970001,88.050003,69776200,Monday,1,0.5929350259840945,0,-0.237474839,1,2.403077506199533,1.024030775,0,-0.192697799,0,0,Baseline,,,0,0,,,,
4/7/03 to 4/14/03,4/10/03,87.089996,87.629997,85.709999,87.510002,41812400,Thursday,4/11/03,88.160004,88.699997,86.860001,87.150002,47730100,Friday,1.141529785,4/14/03,87.470001,89,87,88.949997,36711700,Monday,0,-0.411381547,0,-1.1456465,1,0.3671818619120578,1.003671819,1,2.065398690409664,0,0,Baseline,,,0,0,,,,
4/21/03 to 4/28/03,4/24/03,91.529999,92.080002,90.959999,91.360001,49692400,Thursday,4/25/03,91.300003,91.470001,90.019997,90.230003,43917200,Friday,0.883781021,4/28/03,90.440002,92.190002,90.300003,91.790001,46432900,Monday,0,-1.236862946,0,-1.171960531,1,0.2327374410039757,1.002327374,1,1.7289127209715458,0,0,Baseline,,,0,0,,,,
4/28/03 to 5/5/03,5/1/03,91.919998,92.730003,90.5,91.900002,50240400,Thursday,5/2/03,91.559998,93.470001,91.489998,93.209999,50201500,Friday,0.999225723,5/5/03,93.470001,93.779999,92.5,93.029999,35437800,Monday,1,1.4254591637549645,1,1.802098117127529,1,0.2789421765791458,1.002789422,0,-0.193112329,0,0,Baseline,,,0,0,,,,
5/5/03 to 5/12/03,5/8/03,92.519997,93.330002,92.279999,92.449997,40570700,Thursday,5/9/03,92.830002,93.800003,92.610001,93.730003,33608100,Friday,0.828383538,5/12/03,93.5,95.120003,93.279999,94.879997,35662300,Monday,1,1.3845387144793528,1,0.9695152220291918,0,-0.245388875,0.997546111,1,1.2269219707589327,0,0,Baseline,,,0,0,,,,
5/12/03 to 5/19/03,5/15/03,94.889999,95.330002,94.25,95.110001,43879200,Thursday,5/16/03,94.889999,95.449997,94.260002,94.870003,38905000,Friday,0.886638772,5/19/03,94.150002,94.419998,92.330002,92.650002,41606000,Monday,0,-0.252337291,0,-0.021072821,0,-0.758934307,0.992410657,0,-2.340045251,0,0,Baseline,,,0,0,,,,
5/26/03 to 6/2/03,5/29/03,95.879997,96.82,95.080002,95.419998,50844200,Thursday,5/30/03,95.900002,97.089996,95.559998,96.949997,52529500,Friday,1.033146357,6/2/03,97.529999,98.449997,96.669998,97.349998,50305500,Monday,1,1.603436420109744,1,1.0948852743506674,1,0.5982486002552506,1.005982486,1,0.4125848503120667,0,0,Baseline,,,0,0,,,,
6/2/03 to 6/9/03,6/5/03,98.580002,99.650002,98.269997,99.650002,46262400,Thursday,6/6/03,100.400002,101.400002,99.129997,99.260002,60356800,Friday,1.304662101,6/9/03,98.769997,99.099998,97.769997,98.25,37808500,Monday,0,-0.391369786,0,-1.135458145,0,-0.49365806,0.995063419,0,-1.017531714,0,0,Baseline,,,0,0,,,,
6/9/03 to 6/16/03,6/12/03,100.75,100.900002,99.620003,100.610001,36442000,Thursday,6/13/03,100.610001,100.75,98.949997,99.559998,48628300,Friday,1.334402612,6/16/03,99.959999,101.699997,99.800003,101.660004,36326300,Monday,0,-1.043636805,0,-1.043636805,1,0.4017687907145229,1.004017688,1,2.109286904565836,0,0,Baseline,,,0,0,,,,
6/16/03 to 6/23/03,6/19/03,101.639999,101.730003,99.839996,100.019997,43551700,Thursday,6/20/03,100.389999,100.5,99.419998,99.440002,41545000,Friday,0.953923727,6/23/03,99.449997,99.660004,97.919998,98.419998,34237500,Monday,0,-0.579879042,0,-0.946306414,1,0.010051287,1.000100513,0,-1.025748169,1,0,Baseline,,,0,0,,,,
6/23/03 to 6/30/03,6/26/03,97.779999,98.980003,96.959999,98.800003,33477300,Thursday,6/27/03,98.75,99.190002,97.580002,97.660004,54208800,Friday,1.619270371,6/30/03,98.220001,98.669998,97.470001,97.629997,33349000,Monday,0,-1.153845107,0,-1.103793418,1,0.5734148853813231,1.005734149,0,-0.030725987,0,0,Baseline,,,0,1,6/25/03,Hike,Match,
7/7/03 to 7/14/03,7/10/03,99.839996,100.040001,98.629997,99.300003,49777700,Thursday,7/11/03,99.389999,100.449997,99.389999,100.239998,39976300,Friday,0.803096567,7/14/03,101.199997,101.900002,100.449997,100.730003,42114900,Monday,1,0.9466213208472876,1,0.8552158250851747,1,0.9577005378631356,1.009577005,1,0.4888318134244142,0,0,Baseline,,,0,0,,,,
7/14/03 to 7/21/03,7/17/03,99.150002,99.879997,98.160004,98.5,52253500,Thursday,7/18/03,99.019997,99.800003,98.459999,99.510002,35698100,Friday,0.683171462,7/21/03,99.449997,99.489998,97.849998,98.279999,34786000,Monday,1,1.025382741116751,1,0.4948545898259282,0,-0.060300471,0.999396995,0,-1.236059668,0,0,Baseline,,,0,0,,,,
7/21/03 to 7/28/03,7/24/03,99.989998,100.339996,98.370003,98.489998,40896200,Thursday,7/25/03,98.660004,100.290001,98.040001,100.230003,43241100,Friday,1.057337846,7/28/03,100.370003,100.980003,99.669998,99.860001,34382800,Monday,1,1.7666819325146057,1,1.5913226599909684,1,0.139678735,1.001396787,0,-0.369152937,0,0,Baseline,,,0,0,,,,
7/28/03 to 8/4/03,7/31/03,99.980003,100.910004,99.169998,99.389999,54937200,Thursday,8/1/03,99.190002,99.529999,98.239998,98.510002,49321000,Friday,0.897770545,8/4/03,98.309998,99,97,98.510002,55214100,Monday,0,-0.885397936,0,-0.685552965,0,-0.20302913,0.997969709,0,0,0,0,Baseline,Baseline,0.4000000000000057,1,0,,,,
8/4/03 to 8/11/03,8/7/03,97.169998,98.07,96.760002,98,43427400,Thursday,8/8/03,98.32,98.550003,97.760002,98.279999,27357300,Friday,0.629954821,8/11/03,98.260002,99.040001,97.839996,98.650002,34631400,Monday,1,0.2857132653061262,0,-0.0406845,0,-0.020346968,0.99979653,1,0.3764784328090977,0,0,Baseline,,,0,0,,,,
8/11/03 to 8/18/03,8/14/03,99.099998,99.75,98.449997,99.309998,35525100,Thursday,8/15/03,99.360001,99.790001,99.120003,99.620003,12567000,Friday,0.353749884,8/18/03,99.93,100.599998,99.739998,100.480003,22873800,Monday,1,0.312158903,1,0.2616767284452826,1,0.3111794726607365,1.003111795,1,0.8632804397727225,0,0,Baseline,,,0,0,,,,
8/18/03 to 8/25/03,8/21/03,101.050003,101.519997,100.400002,100.769997,46494200,Thursday,8/22/03,101.75,101.82,99.730003,99.769997,52040300,Friday,1.119285846,8/25/03,99.709999,100.830002,99.279999,99.93,23473000,Monday,0,-0.992358866,0,-1.945948894,0,-0.060136315,0.999398637,1,0.1603718600893645,0,0,Baseline,,,0,0,,,,
9/1/03 to 9/8/03,9/4/03,103.099998,103.550003,102.760002,103.410004,28381000,Thursday,9/5/03,102.940002,103.550003,102.400002,102.830002,31637300,Friday,1.11473521,9/8/03,103.040001,103.879997,102.93,103.68,32632800,Monday,0,-0.560876102,0,-0.106858362,1,0.2042195817520362,1.002042196,1,0.8266050602624841,0,0,Baseline,,,0,0,,,,
9/8/03 to 9/15/03,9/11/03,102.099998,102.760002,101.839996,102.260002,38396300,Thursday,9/12/03,101.910004,102.639999,101.349998,102.449997,42524800,Friday,1.107523381,9/15/03,102.519997,102.629997,101.949997,102.089996,21312800,Monday,1,0.1857960065363544,1,0.5298724156658805,1,0.068326015,1.00068326,0,-0.351391909,0,0,Baseline,,,0,0,,,,
9/15/03 to 9/22/03,9/18/03,103.400002,104.699997,103.169998,104.599998,30243600,Thursday,9/19/03,104.269997,104.599998,103.400002,103.669998,34331600,Friday,1.135169094,9/22/03,102.849998,102.959999,102.029999,102.550003,36677400,Monday,0,-0.889101355,0,-0.575428232,0,-0.790971367,0.992090286,0,-1.080346312,1,0,Baseline,,,0,0,,,,
9/22/03 to 9/29/03,9/25/03,101.410004,101.879997,100.199997,100.279999,52673100,Thursday,9/26/03,100.440002,100.660004,99.849998,99.949997,42914700,Friday,0.814736554,9/29/03,100.300003,100.989998,99.790001,100.93,36771600,Monday,0,-0.329080578,0,-0.487858413,1,0.3501811010559686,1.003501811,1,0.9804932760528352,0,0,Baseline,,,0,0,,,,
9/29/03 to 10/6/03,10/2/03,101.93,102.559998,101.629997,102.449997,44591500,Thursday,10/3/03,103.669998,104.279999,103.080002,103.389999,48806900,Friday,1.094533712,10/6/03,103.480003,103.989998,103.199997,103.860001,20226500,Monday,1,0.917522721,0,-0.270086819,1,0.087052907,1.000870529,1,0.4545913575257833,0,0,Upbeat,,,0,0,,,,
10/6/03 to 10/13/03,10/9/03,104.879997,105.220001,103.830002,104.279999,40066500,Thursday,10/10/03,104.269997,104.599998,103.910004,104.57,22682800,Friday,0.566128811,10/13/03,104.709999,105.290001,104.510002,104.900002,23825600,Monday,1,0.2780983916196523,1,0.2877174725534802,1,0.1338806541072995,1.001338807,1,0.3155799942622238,0,0,Baseline,,,0,0,,,,
10/13/03 to 10/20/03,10/16/03,104.68,105.730003,104.650002,105.410004,32772200,Thursday,10/17/03,105.470001,105.629997,103.980003,104.260002,32790300,Friday,1.000552297,10/20/03,104.449997,105.040001,103.940002,105.040001,27657000,Monday,0,-1.090979942,0,-1.147244703,1,0.1822319167037769,1.001822319,1,0.7481287023186549,0,0,Baseline,,,0,0,,,,
10/20/03 to 10/27/03,10/23/03,102.889999,103.949997,102.839996,103.349998,45830500,Thursday,10/24/03,102.830002,103.580002,102.18,103.580002,51723600,Friday,1.128584676,10/27/03,103.739998,104.18,103.269997,103.629997,32460200,Monday,1,0.2225486254968228,1,0.7293591222530561,1,0.15446611,1.001544661,1,0.048267039,0,0,Baseline,,,0,0,,,,
10/27/03 to 11/3/03,10/30/03,105.790001,105.970001,104.800003,105.400002,39123100,Thursday,10/31/03,105.400002,105.739998,105.220001,105.300003,25761600,Friday,0.658475428,11/3/03,105.75,106.610001,105.709999,105.989998,37589300,Monday,0,-0.09487571,0,-0.09487571,1,0.4273475661724304,1.004273476,1,0.6552658882640261,0,0,Baseline,,,0,0,,,,
11/3/03 to 11/10/03,11/6/03,105.599998,106.440002,105.099998,106.400002,28392300,Thursday,11/7/03,106.639999,106.720001,105.57,105.610001,31723200,Friday,1.117317019,11/10/03,105.739998,105.839996,105.010002,105.18,25530800,Monday,0,-0.742482129,0,-0.9658646,1,0.1230915621334034,1.001230916,0,-0.407159356,0,0,Baseline,,,0,0,,,,
11/10/03 to 11/17/03,11/13/03,106.010002,106.540001,105.779999,106.360001,29714800,Thursday,11/14/03,106.400002,106.949997,105.290001,105.459999,49158500,Friday,1.654343963,11/17/03,104.910004,105.139999,104.040001,104.93,44382100,Monday,0,-0.846184648,0,-0.88346145,0,-0.521520013,0.9947848,0,-0.502559269,0,0,Baseline,,,0,0,,,,
11/17/03 to 11/24/03,11/20/03,104,105.239998,103.75,103.779999,53578700,Thursday,11/21/03,104.239998,104.330002,103.620003,104.209999,30016000,Friday,0.560222626,11/24/03,104.690002,105.779999,104.68,105.589996,28906400,Monday,1,0.4143380267328704,0,-0.02877878,1,0.4606112701335029,1.004606113,1,1.3242462462743168,0,0,Baseline,,,0,0,,,,
12/1/03 to 12/8/03,12/4/03,107.169998,107.720001,106.940002,107.599998,36089500,Thursday,12/5/03,107.120003,107.800003,106.620003,106.849998,28824400,Friday,0.79869214,12/8/03,106.739998,107.639999,106.68,107.57,32482900,Monday,0,-0.697026035,0,-0.252058432,0,-0.10294806,0.998970519,1,0.6738437187429744,0,0,Baseline,,,0,0,,,,
12/8/03 to 12/15/03,12/11/03,106.68,108.099998,106.669998,107.93,45304000,Thursday,12/12/03,107.970001,108.199997,107.389999,108.139999,34142200,Friday,0.753624404,12/15/03,109.169998,109.230003,107.480003,107.599998,38693400,Monday,1,0.1945696284628891,1,0.1574492900115901,1,0.9524681057191462,1.009524681,0,-0.49935362,0,0,Baseline,,,0,0,,,,
12/15/03 to 12/22/03,12/18/03,108.550003,109.730003,108.389999,109.720001,29353100,Thursday,12/19/03,109.300003,109.370003,108.580002,108.900002,41465100,Friday,1.412631034,12/22/03,108.790001,109.660004,108.779999,109.660004,27611300,Monday,0,-0.74735599,0,-0.365966138,0,-0.101011017,0.99898989,1,0.6978897943454584,1,0,Baseline,,,0,0,,,,
1/5/04 to 1/12/04,1/8/04,113.25,113.410004,112.769997,113.379997,36438400,Thursday,1/9/04,112.830002,113.5,112.269997,112.389999,54084300,Friday,1.484266598,1/12/04,112.550003,113.25,112.360001,113.220001,31564100,Monday,0,-0.87316813,0,-0.389969859,1,0.1423649803573721,1.00142365,1,0.7385016526247974,0,0,Baseline,,,0,0,,,,
1/19/04 to 1/26/04,1/22/04,115.139999,115.379997,114.580002,114.800003,29888500,Thursday,1/23/04,115,115.370003,113.949997,114.43,44245300,Friday,1.480345283,1/26/04,114.389999,115.93,114.379997,115.870003,30460600,Monday,0,-0.322302256,0,-0.495652174,0,-0.034956742,0.999650433,1,1.2584138774796731,0,0,Baseline,,,0,0,,,,
1/26/04 to 2/2/04,1/29/04,113.559998,113.849998,112.559998,113.480003,60117100,Thursday,1/30/04,113.519997,113.720001,113.089996,113.480003,30984400,Friday,0.515400776,2/2/04,113.699997,114.68,113.120003,113.970001,38832400,Monday,0,0,0,-0.035230797,1,0.1938614682623861,1.001938615,1,0.4317923749085554,0,0,Baseline,,,0,0,,,,
2/2/04 to 2/9/04,2/5/04,113.169998,113.540001,112.779999,113.18,37226800,Thursday,2/6/04,113.419998,114.699997,113.199997,114.449997,37216000,Friday,0.999709886,2/9/04,114.669998,114.870003,114.290001,114.480003,24851300,Monday,1,1.1221037285739437,1,0.9081282120988836,1,0.1922245572448643,1.001922246,1,0.026217563,0,0,Baseline,,,0,0,,,,
2/16/04 to 2/23/04,2/19/04,116.330002,116.389999,115.059998,115.230003,51146200,Thursday,2/20/04,115.480003,115.559998,114.32,114.879997,46728800,Friday,0.913631902,2/23/04,115.220001,115.260002,114.169998,114.589996,36357000,Monday,0,-0.303745544,0,-0.519575671,1,0.2959644924085376,1.002959645,0,-0.252438203,0,0,Baseline,,,0,0,,,,
2/23/04 to 3/1/04,2/26/04,114.610001,115.290001,114.339996,114.940002,29683000,Thursday,2/27/04,115.190002,115.739998,114.629997,115.019997,39312000,Friday,1.324394435,3/1/04,115.43,116.339996,115.25,116.160004,33130800,Monday,1,0.06959718,0,-0.147586593,1,0.3564623636705565,1.003564624,1,0.9911380887968524,0,0,Baseline,,,0,0,,,,
3/1/04 to 3/8/04,3/4/04,115.720001,116.099998,115.519997,115.989998,21060000,Thursday,3/5/04,115.419998,116.949997,115.279999,116.379997,55905600,Friday,2.654586895,3/8/04,116.339996,116.620003,114.910004,114.959999,39281600,Monday,1,0.3362350260580253,1,0.8317440795658273,0,-0.034371027,0.99965629,0,-1.220139231,0,0,Baseline,,,0,0,,,,
3/8/04 to 3/15/04,3/11/04,112.400002,113.269997,111.099998,111.120003,89134800,Thursday,3/12/04,111.730003,112.709999,111.580002,112.580002,54012200,Friday,0.605960859,3/15/04,112.269997,112.349998,110.900002,111.199997,57677200,Monday,1,1.313893953008619,1,0.7607616371405601,0,-0.275364181,0.997246358,0,-1.22579941,0,0,Baseline,,,0,0,,,,
3/15/04 to 3/22/04,3/18/04,112.699997,113.269997,111.93,113.07,60014300,Thursday,3/19/04,112.410004,112.57,111.040001,111.059998,48636200,Friday,0.810410186,3/22/04,110.540001,110.57,109.099998,109.650002,62752100,Monday,0,-1.777661626,0,-1.200966063,0,-0.468212686,0.995317873,0,-1.26958043,1,0,Baseline,,,0,0,,,,
3/22/04 to 3/29/04,3/25/04,110.080002,111.300003,109.790001,111,49873600,Thursday,3/26/04,110.959999,111.790001,110.800003,111.029999,37409500,Friday,0.750086218,3/29/04,111.629997,112.739998,111.580002,112.589996,44113600,Monday,1,0.027026126,1,0.063085797,1,0.5403926915283493,1.005403927,1,1.4050229794201796,0,0,Baseline,,,0,0,,,,
3/29/04 to 4/5/04,4/1/04,113.07,113.870003,113.050003,113.779999,45103800,Thursday,4/2/04,114.809998,114.839996,113.900002,114.639999,50987700,Friday,1.130452423,4/5/04,114.459999,115.379997,114.440002,115.269997,30251800,Monday,1,0.7558446190529492,0,-0.148069857,0,-0.15701326,0.998429867,1,0.5495446663428535,0,0,Upbeat,,,0,0,,,,
4/12/04 to 4/19/04,4/15/04,113.449997,113.779999,112.360001,112.959999,61602500,Thursday,4/16/04,113.379997,114.050003,112.980003,113.830002,47059200,Friday,0.763917049,4/19/04,113.550003,113.989998,113.269997,113.830002,28277600,Monday,1,0.7701867986029257,1,0.3968998164640895,0,-0.245979966,0.9975402,0,0,0,0,Baseline,,,0,0,,,,
4/19/04 to 4/26/04,4/22/04,112.480003,114.669998,112.440002,114.25,62071500,Thursday,4/23/04,114.419998,114.57,113.790001,114.360001,29395700,Friday,0.473578051,4/26/04,114.5,114.940002,113.599998,114.199997,35515200,Monday,1,0.096280963,0,-0.052435764,1,0.1224195512205382,1.001224196,0,-0.139912556,0,0,Baseline,,,0,0,,,,
4/26/04 to 5/3/04,4/29/04,112.720001,113.32,111.160004,111.830002,69687600,Thursday,4/30/04,112.169998,112.379997,110.900002,110.959999,48681400,Friday,0.698566172,5/3/04,111.370003,112.290001,111.349998,112.150002,33758000,Monday,0,-0.777969225,0,-1.078718928,1,0.3695061316646197,1.003695061,1,1.072461256961623,0,0,Baseline,,,0,0,,,,
5/3/04 to 5/10/04,5/6/04,112.019997,112.589996,111,111.809998,54997000,Thursday,5/7/04,111.220001,112.230003,109.959999,109.959999,60950000,Friday,1.108242268,5/10/04,109.440002,109.75,108.360001,108.830002,75279400,Monday,0,-1.654591748,0,-1.132891556,0,-0.472896512,0.995271035,0,-1.027643698,0,0,Baseline,,,0,0,,,,
5/10/04 to 5/17/04,5/13/04,109.760002,110.809998,109.629997,109.989998,57393700,Thursday,5/14/04,109.949997,110.739998,109.269997,110.040001,54123100,Friday,0.943014651,5/17/04,108.889999,109.5,108.410004,109.099998,55020400,Monday,1,0.045461406,1,0.081859029,0,-1.045076326,0.989549237,0,-0.854237542,0,0,Baseline,,,0,0,,,,
5/17/04 to 5/24/04,5/20/04,109.449997,109.870003,109.040001,109.620003,38082900,Thursday,5/21/04,109.970001,110.550003,109.470001,109.809998,47480400,Friday,1.246764296,5/24/04,110.529999,110.760002,109.68,110.269997,40961500,Monday,1,0.1733214694402044,0,-0.145496952,1,0.6556789118601118,1.006556789,1,0.4189044789892542,0,0,Baseline,,,0,0,,,,
5/31/04 to 6/7/04,6/3/04,112.809998,113.190002,112.07,112.089996,38688300,Thursday,6/4/04,112.980003,113.580002,112.709999,112.980003,32739500,Friday,0.846237751,6/7/04,113.43,114.809998,113.419998,114.699997,31643800,Monday,1,0.7940110908737984,0,0,1,0.3982979182608187,1.003982979,1,1.5223879928556914,0,0,Baseline,,,0,0,,,,
6/14/04 to 6/21/04,6/17/04,113.849998,114.07,113.330002,113.830002,28402400,Thursday,6/18/04,113.269997,114.220001,113.18,113.629997,31799800,Friday,1.119616652,6/21/04,113.75,114.139999,113.129997,113.199997,25284000,Monday,0,-0.175704996,1,0.3178246751432327,1,0.1056085568672478,1.001056086,0,-0.378421202,1,0,Baseline,,,0,0,,,,
6/21/04 to 6/28/04,6/24/04,114.559998,114.93,114.260002,114.389999,35272100,Thursday,6/25/04,114.410004,114.940002,113.68,113.839996,32837900,Friday,0.930987948,6/28/04,114.519997,114.610001,113.410004,113.449997,40824500,Monday,0,-0.480813887,0,-0.498215174,1,0.5973304847972801,1.005973305,0,-0.342585219,0,0,Baseline,,,0,0,,,,
7/5/04 to 7/12/04,7/8/04,111.809998,112.32,111.199997,111.440002,45291100,Thursday,7/9/04,111.720001,111.940002,111.379997,111.730003,27412900,Friday,0.605260195,7/12/04,111.519997,112.040001,111,111.779999,35691300,Monday,1,0.2602306127022409,1,0.008952739,0,-0.187958466,0.998120415,1,0.044747157,0,0,Baseline,,,0,0,,,,
7/12/04 to 7/19/04,7/15/04,111.739998,111.910004,110.699997,110.800003,38403500,Thursday,7/16/04,111.57,111.669998,110.440002,110.709999,40871200,Friday,1.064257164,7/19/04,110.75,110.959999,109.989998,110.239998,39592800,Monday,0,-0.081231045,0,-0.770817424,1,0.036131334,1.000361313,0,-0.42453347,0,0,Baseline,,,0,0,,,,
7/19/04 to 7/26/04,7/22/04,109.360001,110.389999,108.769997,109.879997,72477100,Thursday,7/23/04,109.620003,109.709999,108.690002,108.959999,49610500,Friday,0.684498966,7/26/04,109.190002,109.43,108.209999,108.75,49679100,Monday,0,-0.837275232,0,-0.602083545,1,0.2110893925393764,1.002110894,0,-0.192730362,0,0,Baseline,,,0,0,,,,
7/26/04 to 8/2/04,7/29/04,110.540001,110.870003,110,110.57,52200500,Thursday,7/30/04,110.32,110.900002,110.099998,110.839996,41581700,Friday,0.796576661,8/2/04,110.190002,111.360001,110.050003,111.07,38263100,Monday,1,0.2441855837930778,1,0.4713524292965972,0,-0.586425499,0.994135745,1,0.2075099317037091,0,0,Baseline,,,0,0,,,,
8/2/04 to 8/9/04,8/5/04,110.290001,110.379997,108.269997,108.400002,50772000,Thursday,8/6/04,107.629997,107.959999,106.620003,106.849998,74729000,Friday,1.471854566,8/9/04,107.019997,107.480003,106.870003,107,37476300,Monday,0,-1.429892963,0,-0.724704099,1,0.1591006113074557,1.001591006,1,0.1403855898995905,0,0,Baseline,,,0,0,,,,
8/9/04 to 8/16/04,8/12/04,107.68,107.949997,106.629997,106.980003,50015900,Thursday,8/13/04,107.099998,107.349998,106.589996,107.190002,41634700,Friday,0.832429287,8/16/04,107.139999,108.639999,107.099998,108.300003,45731900,Monday,1,0.196297433,1,0.08403735,0,-0.04664894,0.999533511,1,1.0355452740825557,0,0,Baseline,,,0,0,,,,
8/16/04 to 8/23/04,8/19/04,109.809998,110.019997,109.18,109.709999,39881600,Thursday,8/20/04,109.610001,110.629997,109.510002,110.480003,44870900,Friday,1.125102804,8/23/04,110.550003,110.769997,110.050003,110.199997,33745100,Monday,1,0.7018539850683985,1,0.7937250178475954,1,0.063359882,1.000633599,0,-0.253444961,0,0,Baseline,,,0,0,,,,
8/23/04 to 8/30/04,8/26/04,110.959999,111.309998,110.849998,111.099998,26629500,Thursday,8/27/04,111.199997,111.629997,111.050003,111.449997,24902900,Friday,0.935162132,8/30/04,111.220001,111.339996,110.449997,110.529999,26726500,Monday,1,0.3150306087314212,1,0.2248201499501839,0,-0.206366986,0.99793633,0,-0.825480507,0,0,Baseline,,,0,0,,,,
9/6/04 to 9/13/04,9/9/04,112.57,112.879997,112.029999,112.480003,34314800,Thursday,9/10/04,112.519997,113.269997,112.080002,113.059998,27900600,Friday,0.813077739,9/13/04,113.309998,113.739998,113.010002,113.43,44398100,Monday,1,0.515642767,1,0.4799155833606976,1,0.2211215323035827,1.002211215,1,0.327261637,0,0,Baseline,,,0,0,,,,
