PrecedingWeekToFollowingWeek,PrecedingWeekThursdayDate,PrecedingWeekThursdayOpen,PrecedingWeekThursdayHigh,PrecedingWeekThursdayLow,PrecedingWeekThursdayClose,PrecedingWeekThursdayVolume,PrecedingWeekThursdayDayOfTheWeek,UnemploymentRateOutcome,wasItPresidentialElectionWeek,PrecedingWeekFridayDate,PrecedingWeekFridayOpen,PrecedingWeekFridayHigh,PrecedingWeekFridayLow,PrecedingWeekFridayClose,PrecedingWeekFridayVolume,PrecedingWeekFridayDayOfTheWeek,PrecedingWeekFridayVolumeToPrecedingWeekThursdayVolumeRatio,FollowingWeekMondayDate,FollowingWeekMondayOpen,FollowingWeekMondayHigh,FollowingWeekMondayLow,FollowingWeekMondayClose,FollowingWeekMondayVolume,FollowingWeekMondayDayOfTheWeek,didFridayCloseHigherThanThursdayClose,FridayCloseComparedToThursdayCloseChangeInPercent,wasFridayIntradayPositive,FridayIntradayChangeInPercent,WasMondayOpenHigherThanFridayClose,MondayOpenComparedToFridayCloseChangeInPercent,MondayOpenToFridayCloseRatio,WasMondayCloseHigherThanFridayClose,MondayCloseComparedToFridayCloseChangeInPercent,fridayWasATripleWitchDay,NFPDayOrNot,NFPOutcome,CSIOutcome,CSIActualMinusExpected,CSIDayOrNot,wasItFOMCWeek,FOMCMeetingDate,FOMCAction,FOMCActualVSExpected,FOMCActionSpecial,FOMCPivotAction,PrecedingWeekFridayMonth,UnemploymentActualMinusPreviousInPercent,isItLastFridayOfTheMonth
2006-02-20 to 2006-02-27,2/23/06,111.099998,111.339996,110.480003,110.739998,9454300,Thursday,,0,2/24/06,110.57,110.860001,110.089996,110.760002,5469600,Friday,0.578530404,2/27/06,110.779999,111.330002,110.75,110.849998,2547500,Monday,1,0.018063934,1,0.17183865424618514,1,0.018054351425529584,1.000180544,1,0.081253159,0,0,Baseline,,,0,0,,,,,,Feb,0,1
2006-02-27 to 2006-03-06,3/2/06,110.160004,110.5,109.82,110.379997,5008800,Thursday,,0,3/3/06,109.870003,111.050003,109.809998,110.07,6315000,Friday,1.260781025,3/6/06,110.139999,110.370003,109.279999,109.629997,5497300,Monday,0,-0.280845269,1,0.18203057662608438,1,0.063594985,1.00063595,0,-0.399748342,0,0,Baseline,,,0,0,,,,,,Mar,0,0
2006-03-06 to 2006-03-13,3/9/06,110.18,110.550003,109.68,109.709999,6042400,Thursday,,0,3/10/06,109.989998,111.040001,109.870003,110.849998,8351400,Friday,1.382132927,3/13/06,111.040001,111.309998,110.669998,111.010002,5690200,Monday,1,1.0391021879418694,1,0.7818892768777026,1,0.17140550602446053,1.001714055,1,0.14434280819743514,0,0,Baseline,,,0,0,,,,,,Mar,0,0
2006-03-13 to 2006-03-20,3/16/06,112.489998,112.959999,112.43,112.769997,6334700,Thursday,,0,3/17/06,112.620003,112.809998,112.449997,112.699997,5742800,Friday,0.906562268,3/20/06,112.720001,113.010002,112.5,112.690002,6846500,Monday,0,-0.062073248,1,0.071030011,1,0.017749778644625992,1.000177498,0,-0.008868678,1,0,Baseline,,,0,0,,,,,,Mar,0,0
2006-03-20 to 2006-03-27,3/23/06,113,113.18,112.25,112.779999,6603900,Thursday,,0,3/24/06,112.669998,113.080002,112.339996,112.75,4651600,Friday,0.704371659,3/27/06,112.540001,112.720001,112.199997,112.449997,3459600,Monday,0,-0.026599575,1,0.071005593,0,-0.186251885,0.998137481,0,-0.266078049,0,0,Baseline,,,0,0,,,,,,Mar,0,0
2006-03-27 to 2006-04-03,3/30/06,111.949997,112.5,111.059998,111.419998,8894100,Thursday,,0,3/31/06,111.610001,111.82,110.970001,111.309998,6037000,Friday,0.678764574,4/3/06,111.639999,112.389999,111.260002,111.309998,7856300,Monday,0,-0.098725545,0,-0.268795804,1,0.2964702236361643,1.002964702,0,0,0,0,Baseline,,,0,0,,,,,,Mar,0,1
2006-04-03 to 2006-04-10,4/6/06,112.25,112.470001,111.660004,112.169998,5248200,Thursday,,0,4/7/06,112.459999,112.699997,111.089996,111.239998,7292800,Friday,1.38958119,4/10/06,111.43,111.839996,111.169998,111.510002,5947700,Monday,0,-0.829098704,0,-1.084831061,1,0.17080367081632533,1.001708037,1,0.2427220467947151,0,0,Baseline,,,0,0,,,,,,Apr,0,0
2006-04-17 to 2006-04-24,4/20/06,112.910004,113.879997,112.839996,113.489998,10126900,Thursday,,0,4/21/06,113.910004,113.980003,113.099998,113.400002,6997100,Friday,0.690941947,4/24/06,113.25,113.470001,112.93,113.349998,5136000,Monday,0,-0.079298618,0,-0.447723626,0,-0.132276894,0.998677231,0,-0.044095237,0,0,Baseline,,,0,0,,,,,,Apr,0,0
2006-04-24 to 2006-05-01,4/27/06,112.889999,114.099998,112.68,113.769997,14549000,Thursday,,0,4/28/06,113.660004,114.099998,113.389999,113.879997,4110100,Friday,0.282500515,5/1/06,113.949997,114.209999,113.190002,113.300003,5649300,Monday,1,0.096686299,1,0.1935535740435152,1,0.061468214,1.000614682,0,-0.509302788,0,0,Baseline,,,0,0,,,,,,Apr,0,1
2006-05-01 to 2006-05-08,5/4/06,114.139999,114.629997,114.139999,114.330002,4126700,Thursday,,0,5/5/06,114.860001,115.830002,114.779999,115.629997,6889900,Friday,1.669590714,5/8/06,115.629997,116,115.629997,115.75,3502300,Monday,1,1.1370549962904837,1,0.670377845,0,0,1,1,0.10378189320544302,0,0,Baseline,,,0,0,,,,,,May,0,0
2006-05-08 to 2006-05-15,5/11/06,116.459999,116.459999,114.849998,115.190002,9635700,Thursday,,0,5/12/06,114.910004,115.059998,113.82,113.870003,9974000,Friday,1.035109022,5/15/06,113.519997,114.43,113.419998,114.32,7380100,Monday,0,-1.145931919,0,-0.90505697,0,-0.307373312,0.996926267,1,0.3951848495165107,0,0,Baseline,,,0,1,5/10/06,Hike,Match,,,May,0,0
2006-05-15 to 2006-05-22,5/18/06,112.470001,113.610001,111.300003,111.419998,10613500,Thursday,,0,5/19/06,111.610001,111.709999,110.629997,111.470001,22180500,Friday,2.089838413,5/22/06,110.709999,111.660004,110.269997,110.970001,16605100,Monday,1,0.04487794,0,-0.125436788,0,-0.681799581,0.993182004,0,-0.448551176,0,0,Baseline,,,0,0,,,,,,May,0,0
2006-05-29 to 2006-06-05,6/1/06,111.589996,112.660004,111.470001,112.400002,5982200,Thursday,,0,6/2/06,112.760002,112.849998,111.879997,112.360001,6554400,Friday,1.09565043,6/5/06,112.160004,112.220001,110.400002,110.690002,9940600,Monday,0,-0.035588078,0,-0.354736602,0,-0.177996616,0.998220034,0,-1.486293152,0,0,Shock,,,0,0,,,,,,Jun,0,0
2006-06-05 to 2006-06-12,6/8/06,109.120003,109.669998,107.519997,109,26005000,Thursday,,0,6/9/06,109.43,109.75,108.68,108.830002,7295800,Friday,0.28055374,6/12/06,109.190002,109.260002,107.849998,107.949997,9054200,Monday,0,-0.155961468,0,-0.548293887,1,0.33079113606927407,1.003307911,0,-0.808605149,0,0,Baseline,,,0,0,,,,,,Jun,0,0
2006-06-12 to 2006-06-19,6/15/06,108.550003,110.459999,108.459999,110.349998,11215100,Thursday,,0,6/16/06,109.919998,110.379997,109.709999,109.980003,5751300,Friday,0.512817541,6/19/06,110.300003,110.440002,108.959999,109.169998,7078800,Monday,0,-0.335292258,1,0.054589703,1,0.29096198515288946,1.00290962,0,-0.736502071,1,0,Baseline,,,0,0,,,,,,Jun,0,0
2006-06-19 to 2006-06-26,6/22/06,110.589996,110.669998,109.790001,110.199997,4818100,Thursday,,0,6/23/06,110.010002,110.690002,109.660004,109.970001,6711600,Friday,1.39299724,6/26/06,109.940002,110.449997,109.650002,110.400002,4298800,Monday,0,-0.20870781,0,-0.036361239,0,-0.027279258,0.999727207,1,0.39101663734640174,0,0,Baseline,,,0,0,,,,,,Jun,0,0
2006-06-26 to 2006-07-03,6/29/06,110.230003,111.870003,110.129997,111.800003,8164300,Thursday,,0,6/30/06,112.220001,112.279999,111.589996,111.790001,3904500,Friday,0.478240633,7/3/06,111.949997,112.25,111.860001,112.199997,1052200,Monday,0,-0.008946332,0,-0.383175901,1,0.14312192375773614,1.001431219,1,0.3667555204691272,0,0,Baseline,,,0,1,6/29/06,Hike,Hawkish,,,Jun,0,1
2006-07-03 to 2006-07-10,7/6/06,111.650002,112.559998,111.629997,112.190002,9406000,Thursday,,0,7/7/06,111.650002,112.400002,110.690002,110.959999,7181800,Friday,0.763533915,7/10/06,111.339996,111.779999,110.900002,111.150002,4375500,Monday,0,-1.096357053,0,-0.618005363,1,0.3424630528340245,1.003424631,1,0.17123558193255242,0,0,Baseline,,,0,0,,,,,,Jul,0,0
2006-07-10 to 2006-07-17,7/13/06,109.760002,109.790001,108.260002,108.300003,16123600,Thursday,,0,7/14/06,108.43,108.589996,107.010002,107.32,8206500,Friday,0.508974423,7/17/06,107.379997,108.07,107.169998,107.519997,8335300,Monday,0,-0.904896558,0,-1.023701928,1,0.055904770778987936,1.000559048,1,0.18635575847932392,0,0,Baseline,,,0,0,,,,,,Jul,0,0
2006-07-17 to 2006-07-24,7/20/06,110.300003,110.449997,109.239998,109.419998,7764700,Thursday,,0,7/21/06,109.599998,109.610001,108.290001,108.559998,9159500,Friday,1.179633469,7/24/06,109,110.599998,109,110.5,9628100,Monday,0,-0.785962361,0,-0.948905127,1,0.40530767143161417,1.004053077,1,1.7870320889283795,0,0,Baseline,,,0,0,,,,,,Jul,0,0
2006-07-24 to 2006-07-31,7/27/06,111.349998,111.779999,110.779999,111.269997,9135400,Thursday,,0,7/28/06,111.459999,112.330002,111.150002,112.07,11306000,Friday,1.23760317,7/31/06,111.800003,112.050003,111.660004,111.900002,3906800,Monday,1,0.7189745857546752,1,0.5472824380699993,0,-0.240918176,0.997590818,0,-0.151689123,0,0,Baseline,,,0,0,,,,,,Jul,0,1
2006-07-31 to 2006-08-07,8/3/06,111.43,112.660004,111.269997,112.589996,6181100,Thursday,,0,8/4/06,113.139999,113.370003,111.82,112.480003,7698000,Friday,1.245409393,8/7/06,112.139999,112.419998,111.849998,112.339996,3623200,Monday,0,-0.097693404,0,-0.583344534,0,-0.302279508,0.996977205,0,-0.124472792,0,0,Baseline,,,0,0,,,,,,Aug,0,0
2006-08-07 to 2006-08-14,8/10/06,110.849998,111.529999,110.5,111.300003,7656700,Thursday,,0,8/11/06,111.059998,111.150002,110.550003,111.050003,5275000,Friday,0.688939099,8/14/06,111.620003,112.129997,110.889999,111.150002,7949500,Monday,0,-0.224618143,0,-0.00899964,1,0.5132822914016429,1.005132823,1,0.090048624,0,0,Baseline,,,0,0,,,,,,Aug,0,0
2006-08-14 to 2006-08-21,8/17/06,113.300003,113.879997,113.190002,113.459999,5959600,Thursday,,0,8/18/06,113.449997,113.800003,113.080002,113.800003,3983200,Friday,0.668367004,8/21/06,113.43,113.559998,113.099998,113.5,5056000,Monday,1,0.29966860831719866,1,0.3085112465891098,0,-0.325134438,0.996748656,0,-0.263623016,0,0,Baseline,,,0,0,,,,,,Aug,0,0
2006-08-21 to 2006-08-28,8/24/06,113.199997,113.339996,112.669998,112.800003,4049000,Thursday,,0,8/25/06,112.730003,113.150002,112.519997,112.839996,3559800,Friday,0.879180044,8/28/06,112.739998,113.870003,112.730003,113.440002,3875800,Monday,1,0.035454786291092125,1,0.097572072,0,-0.088619287,0.999113807,1,0.5317316742903887,0,0,Baseline,,,0,0,,,,,,Aug,0,1
2006-09-04 to 2006-09-11,9/7/06,113.68,113.949997,113.230003,113.559998,7050000,Thursday,,0,9/8/06,113.610001,114.050003,113.489998,113.870003,3220000,Friday,0.456737589,9/11/06,113.650002,114.25,113.419998,113.959999,5681400,Monday,1,0.2729878526415647,1,0.22885485231181368,0,-0.193203648,0.998067964,1,0.079033984,0,0,Baseline,,,0,0,,,,,,Sep,0,0
2006-09-11 to 2006-09-18,9/14/06,115.279999,115.589996,115.059998,115.510002,4182000,Thursday,,0,9/15/06,115.839996,116.029999,115.449997,115.589996,7672200,Friday,1.834576758,9/18/06,115.389999,115.790001,115.129997,115.519997,7036500,Monday,1,0.069252877,0,-0.215814925,0,-0.173022759,0.998269772,0,-0.060558009,1,0,Baseline,,,0,0,,,,,,Sep,0,0
2006-09-18 to 2006-09-25,9/21/06,116.089996,116.220001,114.949997,115.370003,8600800,Thursday,,0,9/22/06,115.260002,115.260002,114.669998,115.010002,5824500,Friday,0.677204446,9/25/06,115.190002,116.099998,114.769997,115.599998,7954400,Monday,0,-0.312040384,0,-0.216900916,1,0.1565081270062119,1.001565081,1,0.5129953827841853,0,0,Baseline,,,0,0,,,,,,Sep,0,0
2006-09-25 to 2006-10-02,9/28/06,116.980003,117.18,116.5,116.900002,11939700,Thursday,,0,9/29/06,117.07,117.330002,116.669998,116.739998,6476600,Friday,0.54244244,10/2/06,116.75,117.199997,116.470001,116.620003,7034700,Monday,0,-0.136872538,0,-0.281884343,1,0.008567758,1.000085678,0,-0.102788249,0,0,Baseline,,,0,0,,,,,,Sep,0,1
2006-10-02 to 2006-10-09,10/5/06,118.360001,118.709999,118.199997,118.620003,7159600,Thursday,,0,10/6/06,118.43,118.57,117.970001,118.519997,8877700,Friday,1.239971507,10/9/06,118.32,118.739998,118.099998,118.620003,3432300,Monday,0,-0.084307872,1,0.075991725,0,-0.168745364,0.998312546,1,0.08437901,0,0,Baseline,,,0,0,,,,,,Oct,0,0
2006-10-09 to 2006-10-16,10/12/06,118.879997,119.580002,118.870003,119.459999,5467800,Thursday,,0,10/13/06,119.370003,119.68,119.07,119.639999,5290000,Friday,0.967482351,10/16/06,119.57,119.970001,119.419998,119.769997,6899400,Monday,1,0.15067805249186955,1,0.22618412768240118,0,-0.058508025,0.99941492,1,0.1086576404936283,0,0,Baseline,,,0,0,,,,,,Oct,0,0
2006-10-16 to 2006-10-23,10/19/06,119.82,120.309998,119.669998,120.150002,6592000,Thursday,,0,10/20/06,119.75,120.010002,119.379997,119.93,8226900,Friday,1.248012743,10/23/06,119.720001,121.129997,119.699997,120.870003,9888200,Monday,0,-0.183106114,1,0.15031315240084075,0,-0.175101309,0.998248987,1,0.7837930459434588,0,0,Baseline,,,0,0,,,,,,Oct,0,0
2006-10-23 to 2006-10-30,10/26/06,121.449997,121.550003,120.839996,121.43,6657000,Thursday,,0,10/27/06,121.25,121.410004,120.629997,120.860001,8672500,Friday,1.302764008,10/30/06,120.599998,121.059998,120.360001,120.769997,5699600,Monday,0,-0.469405419,0,-0.32164866,0,-0.215127418,0.997848726,0,-0.074469634,0,0,Baseline,,,0,0,,,,,,Oct,0,1
2006-10-30 to 2006-11-06,11/2/06,119.879997,120.239998,119.720001,120,6938800,Thursday,,0,11/3/06,120.459999,120.620003,119.599998,119.779999,6840900,Friday,0.985890932,11/6/06,120.059998,121.139999,120.019997,121.010002,7444400,Monday,0,-0.183334167,0,-0.564502744,1,0.2337610638984806,1.002337611,1,1.0268851312980862,0,0,Baseline,,,0,0,,,,,,Nov,0,0
2006-11-06 to 2006-11-13,11/9/06,121.779999,121.900002,120.910004,121.160004,5962600,Thursday,,0,11/10/06,121.120003,121.260002,120.769997,121.110001,3718400,Friday,0.623620568,11/13/06,121.120003,121.82,120.980003,121.349998,5695200,Monday,0,-0.04127022,0,-0.008257926,1,0.008258608,1.000082586,1,0.1981644769369645,0,0,Baseline,,,0,0,,,,,,Nov,0,0
2006-11-13 to 2006-11-20,11/16/06,123.050003,123.449997,122.800003,123.360001,6310100,Thursday,,0,11/17/06,122.809998,123.300003,122.669998,123.260002,6493600,Friday,1.029080363,11/20/06,123.099998,123.449997,122.900002,123.129997,5772200,Monday,0,-0.081062743,1,0.36642293569616946,0,-0.129810155,0.998701898,0,-0.105472171,0,0,Baseline,,,0,0,,,,,,Nov,0,0
2006-11-27 to 2006-12-04,11/30/06,122.330002,122.769997,121.629997,122.279999,12809400,Thursday,BASELINE,0,12/1/06,122.370003,122.459999,120.900002,122.050003,14513700,Friday,1.133050728,12/4/06,122.040001,123.110001,122,122.800003,6279300,Monday,0,-0.188089632,0,-0.261501996,0,-0.008195002,0.99991805,1,0.6145022380704079,0,0,Baseline,,,0,0,,,,,,Dec,0.1,0
2006-12-04 to 2006-12-11,12/7/06,123.339996,123.650002,122.68,122.760002,6432500,Thursday,,0,12/8/06,122.68,123.379997,122.32,123,7319600,Friday,1.137909056,12/11/06,123.110001,123.550003,123.07,123.339996,3908400,Monday,1,0.19550178892958958,1,0.2608412129116345,1,0.089431707,1.000894317,1,0.2764195121951214,0,0,Baseline,,,0,0,,,,,,Dec,0,0
2006-12-11 to 2006-12-18,12/14/06,123.209999,124.379997,123.199997,124.230003,6851000,Thursday,,0,12/15/06,124.190002,124.589996,124.099998,124.150002,9366400,Friday,1.367158079,12/18/06,124.309998,124.629997,124.029999,124.220001,6767800,Monday,0,-0.064397487,0,-0.032208712,1,0.1288731352577767,1.001288731,1,0.056382601,1,0,Baseline,,,0,0,,,,,,Dec,0,0
2007-01-01 to 2007-01-08,1/4/07,124.480003,124.949997,123.889999,124.68,10318700,Thursday,,0,1/5/07,124.470001,124.5,123.519997,123.739998,9389000,Friday,0.909901441,1/8/07,123.870003,124.389999,123.25,124.139999,8092400,Monday,0,-0.753931665,0,-0.586489109,1,0.10506303709492304,1.00105063,1,0.32325925849780857,0,0,Baseline,,,0,0,,,,,,Jan,0,0
2007-01-15 to 2007-01-22,1/18/07,125.959999,126.080002,125.389999,125.510002,10423800,Thursday,,0,1/19/07,125.25,125.709999,125.18,125.550003,10946400,Friday,1.050135267,1/22/07,125.480003,125.510002,124.379997,124.75,10233200,Monday,1,0.031870766761683045,1,0.23952335329341623,0,-0.055754678,0.999442453,0,-0.63719871,0,0,Baseline,,,0,0,,,,,,Jan,0,0
2007-01-22 to 2007-01-29,1/25/07,126.029999,126.120003,124.790001,124.970001,8768800,Thursday,,0,1/26/07,125.209999,125.279999,124.209999,124.769997,9675900,Friday,1.10344631,1/29/07,124.830002,125.309998,124.690002,124.82,6681200,Monday,0,-0.160041609,0,-0.351411232,1,0.048092491,1.000480925,1,0.040076141,0,0,Baseline,,,0,0,,,,,,Jan,0,1
2007-01-29 to 2007-02-05,2/1/07,126.459999,126.769997,126.169998,126.739998,8707400,Thursday,,0,2/2/07,126.800003,126.830002,126.32,126.529999,5961000,Friday,0.684590119,2/5/07,126.440002,126.739998,126.25,126.68,4625000,Monday,0,-0.165692759,0,-0.212936903,0,-0.071127006,0.99928873,1,0.11854975198411496,0,0,Baseline,,,0,0,,,,,,Feb,0,0
2007-02-05 to 2007-02-12,2/8/07,126.550003,126.580002,125.779999,126.470001,6289600,Thursday,,0,2/9/07,126.519997,126.790001,125.480003,125.879997,6601100,Friday,1.049526202,2/12/07,125.879997,126.040001,125.389999,125.589996,9208000,Monday,0,-0.466516957,0,-0.50584889,0,0,1,0,-0.230378938,0,0,Baseline,,,0,0,,,,,,Feb,0,0
2007-02-19 to 2007-02-26,2/22/07,127.400002,127.589996,126.440002,126.790001,7221000,Thursday,,0,2/23/07,126.720001,126.739998,126.269997,126.410004,5916600,Friday,0.819360199,2/26/07,126.860001,127,126.089996,126.339996,7599500,Monday,0,-0.29970581,0,-0.244631469,1,0.35598211040322114,1.003559821,0,-0.055381693,0,0,Baseline,,,0,0,,,,,,Feb,0,1
2007-02-26 to 2007-03-05,3/1/07,121.410004,122.900002,120.050003,122.440002,24877800,Thursday,,0,3/2/07,122,122.470001,120.959999,120.959999,17515400,Friday,0.704057433,3/5/07,120.400002,121.910004,120.279999,120.300003,15602600,Monday,0,-1.208757739,0,-0.852459836,0,-0.462960487,0.995370395,0,-0.545631618,0,0,Baseline,,,0,0,,,,,,Mar,0,0
2007-03-05 to 2007-03-12,3/8/07,122.730003,123.080002,122.279999,122.800003,7570300,Thursday,,0,3/9/07,123.230003,123.349998,122.330002,122.989998,9315800,Friday,1.230572104,3/12/07,122.690002,123.529999,122.519997,123.150002,6396100,Monday,1,0.1547190515948083,0,-0.194761823,0,-0.243919022,0.99756081,1,0.13009513180088084,0,0,Baseline,,,0,0,,,,,,Mar,0,0
2007-03-12 to 2007-03-19,3/15/07,121.25,122.040001,121.209999,121.790001,7905600,Thursday,,0,3/16/07,121.690002,121.779999,120.25,121.050003,8491600,Friday,1.074124671,3/19/07,121.559998,122.279999,121.5,122.279999,6829200,Monday,0,-0.607601604,0,-0.525925704,1,0.421309366,1.004213094,1,1.0161057162468634,1,0,Baseline,,,0,0,,,,,,Mar,0,0
2007-03-19 to 2007-03-26,3/22/07,124.459999,124.639999,123.980003,124.449997,6477800,Thursday,,0,3/23/07,124.5,125.010002,124.370003,124.690002,5276200,Friday,0.814504925,3/26/07,124.75,124.75,123.57,124.360001,7972500,Monday,1,0.19285255587431688,1,0.1526120481927766,1,0.048117731,1.000481177,0,-0.264657145,0,0,Baseline,,,0,0,,,,,,Mar,0,0
2007-03-26 to 2007-04-02,3/29/07,123.669998,123.720001,122.559998,123.300003,9107700,Thursday,,0,3/30/07,123.370003,124.059998,122.330002,123.589996,9827200,Friday,1.078999089,4/2/07,123.57,123.82,123.110001,123.650002,6195200,Monday,1,0.2351930194194687,1,0.17831968440497026,0,-0.016179303,0.999838207,1,0.048552473,0,0,Baseline,,,0,0,,,,,,Mar,0,1
2007-04-09 to 2007-04-16,4/12/07,124.75,125.540001,124.260002,125.410004,5984200,Thursday,,0,4/13/07,125.760002,126.150002,125.199997,126.150002,5935800,Friday,0.991912035,4/16/07,126.470001,127.290001,126.449997,127.040001,7969000,Monday,1,0.5900629745614233,1,0.31011449888494796,1,0.25366547358437275,1.002536655,1,0.7055085104160388,0,0,Baseline,,,0,0,,,,,,Apr,0,0
2007-04-16 to 2007-04-23,4/19/07,127.330002,128.270004,127.269997,128.229996,8618600,Thursday,,0,4/20/07,129.089996,129.570007,128.889999,129.570007,10280800,Friday,1.19286195,4/23/07,129.389999,129.729996,129.059998,129.169998,7509000,Monday,1,1.0450058814631829,1,0.3718421371707149,0,-0.138927213,0.998610728,0,-0.308720366,0,0,Baseline,,,0,0,,,,,,Apr,0,0
2007-04-23 to 2007-04-30,4/26/07,130.800003,131.220001,130.619995,131.199997,9708800,Thursday,,0,4/27/07,130.710007,131.369995,130.630005,131.229996,7526200,Friday,0.775193639,4/30/07,131.169998,131.979996,130.539993,130.669998,10288000,Monday,1,0.022865091986247272,1,0.3978188142855884,0,-0.04571973,0.999542803,0,-0.426730181,0,0,Baseline,,,0,0,,,,,,Apr,0,1
2007-04-30 to 2007-05-07,5/3/07,132.279999,132.429993,131.899994,132.389999,9363700,Thursday,,0,5/4/07,132.649994,132.800003,132.229996,132.740005,10687600,Friday,1.141386418,5/7/07,132.809998,133.130005,132.740005,133.039993,10477600,Monday,1,0.2643749547879426,1,0.067856015,1,0.052729394,1.000527294,1,0.2259966767366125,0,0,Baseline,,,0,0,,,,,,May,0,0
2007-05-07 to 2007-05-14,5/10/07,133.190002,133.429993,132.210007,132.5,14855800,Thursday,,0,5/11/07,132.639999,133.559998,132.600006,133.559998,10151200,Friday,0.683315607,5/14/07,133.610001,133.949997,133.089996,133.720001,10734000,Monday,1,0.7999984905660432,1,0.6936060064355236,1,0.037438604933195486,1.000374386,1,0.11979859418685301,0,0,Baseline,,,0,0,,,,,,May,0,0
2007-05-14 to 2007-05-21,5/17/07,134.949997,135.399994,134.710007,134.929993,12408200,Thursday,,0,5/18/07,135.080002,135.5,135,135.5,9481600,Friday,0.764139843,5/21/07,135.389999,135.740005,135.160004,135.199997,12668600,Monday,1,0.42244647563274085,1,0.31092537295046274,0,-0.08118155,0.999188185,0,-0.221404428,0,0,Baseline,,,0,0,,,,,,May,0,0
2007-05-28 to 2007-06-04,5/31/07,136.399994,136.660004,136.080002,136.289993,8996400,Thursday,BASELINE,0,6/1/07,136.610001,136.839996,136.160004,136.610001,9593200,Friday,1.066337646,6/4/07,136.229996,136.809998,136.130005,136.559998,7430400,Monday,1,0.23479933702836228,0,0,0,-0.278167775,0.997218322,0,-0.036602737,0,0,Baseline,Baseline,0.2999999999999971,1,0,,,,,,Jun,-0.1,0
2007-06-04 to 2007-06-11,6/7/07,134.279999,134.789993,132.369995,132.529999,26022900,Thursday,,0,6/8/07,132.809998,134.229996,132.479996,134.100006,19097800,Friday,0.733884386,6/11/07,134.070007,134.75,133.770004,134.240005,10273100,Monday,1,1.1846427313411538,1,0.9713184394445968,0,-0.022370618,0.999776294,1,0.10439895133188054,0,0,Baseline,,,0,0,,,,,,Jun,0,0
2007-06-11 to 2007-06-18,6/14/07,134.960007,135.869995,134.850006,135.699997,12749000,Thursday,,0,6/15/07,136.360001,136.850006,136.179993,136.190002,10995200,Friday,0.86243627,6/18/07,136.490005,136.539993,135.929993,135.940002,10175000,Monday,1,0.3610943337014197,0,-0.124669257,1,0.22028269006120127,1.002202827,0,-0.183567073,1,0,Baseline,,,0,0,,,,,,Jun,0,0
2007-06-18 to 2007-06-25,6/21/07,134.800003,135.550003,133.869995,135.369995,26946200,Thursday,,0,6/22/07,134.949997,135.179993,133.539993,133.970001,22142200,Friday,0.821718832,6/25/07,133.809998,134.770004,132.889999,133.619995,18960000,Monday,0,-1.034198162,0,-0.726191939,0,-0.119431961,0.99880568,0,-0.261256996,0,0,Baseline,,,0,0,,,,,,Jun,0,0
2007-06-25 to 2007-07-02,6/28/07,134.089996,135.100006,133.899994,134.089996,13935600,Thursday,,0,6/29/07,134.360001,135.119995,132.850006,134.199997,19466600,Friday,1.396897155,7/2/07,134.419998,135.369995,134.380005,135.270004,8861200,Monday,1,0.082035203,0,-0.119086037,1,0.1639351750507091,1.001639352,1,0.7973226705809867,0,0,Baseline,,,0,0,,,,,,Jun,0,1
2007-07-02 to 2007-07-09,7/5/07,135.580002,135.720001,135.050003,135.559998,9392200,Thursday,,0,7/6/07,135.630005,136.309998,135.360001,136.130005,8218700,Friday,0.875055897,7/9/07,136.389999,136.690002,136.130005,136.479996,9688800,Monday,1,0.4204831870829652,1,0.36864999,1,0.1909894883203579,1.001909895,1,0.25710055619258115,0,0,Baseline,,,0,0,,,,,,Jul,0,0
2007-07-09 to 2007-07-16,7/12/07,136.330002,138.669998,136.320007,138.339996,13518100,Thursday,,0,7/13/07,138.470001,139.300003,138.410004,138.910004,8507800,Friday,0.629363594,7/16/07,138.979996,139.860001,138.919998,139.460007,11637900,Monday,1,0.41203413075129264,1,0.31776052345084493,1,0.05038658,1.000503866,1,0.3959419654181306,0,0,Baseline,,,0,0,,,,,,Jul,0,0
2007-07-16 to 2007-07-23,7/19/07,139.929993,140.169998,139.529999,139.889999,8731800,Thursday,,0,7/20/07,139.220001,139.559998,137.880005,138.539993,19277200,Friday,2.207700589,7/23/07,139.110001,139.619995,138.809998,139.210007,12709000,Monday,0,-0.965048259,0,-0.488441312,1,0.4114393162990858,1.004114393,1,0.4836249703000782,0,0,Baseline,,,0,0,,,,,,Jul,0,0
2007-07-23 to 2007-07-30,7/26/07,136.550003,137.139999,131.139999,134.710007,46788100,Thursday,,0,7/27/07,134.619995,135.100006,132.110001,132.110001,31428100,Friday,0.671711397,7/30/07,132.919998,133.850006,132.130005,133.539993,22838700,Monday,0,-1.93007636,0,-1.864503115,1,0.6131231503056165,1.006131232,1,1.082425243490838,0,0,Baseline,,,0,0,,,,,,Jul,0,1
2007-07-30 to 2007-08-06,8/2/07,133.509995,135,132.979996,134.779999,22635400,Thursday,,0,8/3/07,134.440002,134.720001,131.539993,132.190002,34061000,Friday,1.50476687,8/6/07,132.399994,134.610001,131.539993,134.199997,31192300,Monday,0,-1.921647885,0,-1.67360902,1,0.15885618944161886,1.001588562,1,1.5205348132153018,0,0,Baseline,,,0,0,,,,,,Aug,0,0
